subject	screen_resolution	total_time	image_load	age	gender-categorical	gender-free-response	ethnicity	race	education	free-response
2kaeqgaaerdmpwoywpsxmeh7	[900, 1440]	317.984	True	18	Female		Not Hispanic or Latino	['White']	High school	no
2lwgshkagkjxlxrdwfrwqpas	[864, 1536]	383.405	True	18	Female		Not Hispanic or Latino	['White']	High school	
2lxcej2tk2tol6ie9pg9ephv	[900, 1440]	471.917	True	24	Female		Not Hispanic or Latino	['White']	Bachelor degree	
2mgrr1q9h0wwji5zaco7gsbb	[864, 1536]	270.903	True	22	Male		Not Hispanic or Latino	['Black or African American']	Some college	
2ng96ye3rfowy888zmjczotb	[900, 1440]	330.748	True	37	Male		Not Hispanic or Latino	['White']	Bachelor degree	
2noems6hp5m2jto7zpmavxm9	[900, 1440]	338.235	True	20	Female		Not Hispanic or Latino	['White']	High school	
2nzoo77yurwqve3f4yl4camt	[1080, 1920]	387.542	True	38	Female		Not Hispanic or Latino	['White']	Bachelor degree	
2oasl2egv8ro3zxrnu9cdwri	[1551, 981]	532.633	True	30	Male		Not Hispanic or Latino	['White']	Master degree or higher	
2r28o3lv54fnis6irbr19yxf	[900, 1440]	348.913	True	20	Female		Not Hispanic or Latino	['Asian']	High school	
2r5alrkbf4c9mvniy12cmrrp	[1080, 1920]	357.97	True	27	Female		Not Hispanic or Latino	['White']	Bachelor degree	no comment
2rems7vwqgm02ad6rr2mjbs9	[2036, 980]	367.525	True	31	Male		Not Hispanic or Latino	['White']	Master degree or higher	This survey was very nice and interesting.
2rezgf7dcjsbrw2xo1cx85k7	[900, 1440]	273.96	True	19	Male		Not Hispanic or Latino	['Asian']	Some college	
2ryo3nqynuc45ekjibgor0yp	[800, 1280]	405.913	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	no comment
2s9ape6golrvhw3wahi3m3r3	[900, 1440]	314.025	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
2upl5md6ptyi3ax9pp22y7fj	[1120, 1792]	269.401	True	32	Female		Not Hispanic or Latino	['White']	Bachelor degree	
2v0hacer62t2jm96ztlxem3f	[900, 1440]	252.215	True	19	Male		Not Hispanic or Latino	['White']	Associate degree	
2v9b3eic48aqgsgtr4i3rapv	[1050, 1680]	386.312	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	
2vvj64z7bstb0zir4mjua9cw	[1322, 765]	318.195	True		Male		Not Hispanic or Latino	['White']	Bachelor degree	
2xovrvkaxpz9tip2r8wsuig6	[900, 1440]	232.184	True	18	Female		Not Hispanic or Latino	['White']	High school	no comment
2yzqza7zsurmv8eryo1mz7rs	[1120, 1792]	282.319	True	27	Female		Not Hispanic or Latino	['White']	Bachelor degree	
33lggk2fsgoalvhzifhufox6	[1080, 1920]	495.383	True	29	Female		Not Hispanic or Latino	['Black or African American']	Some college	The images were small. Countdown earlier than 5 seconds would have been better.
33vgnwo4ptzhp430sqai90mc	[900, 1440]	252.061	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	
34s9xql6rs74bfhznq0iti4l	[720, 1280]	250.561	True	53	Male		Not Hispanic or Latino	['White']	Master degree or higher	NA
35c7ygm020qdlmd98x1a0479	[900, 1440]	507.673	True	33	Male		Hispanic or Latino	['White']	Bachelor degree	This was an entertaining survey. 
