subject,resolution,missing,rapid,reject
sp7f8oz05pwwhr7iggky2sub,0,0,0,0
spbaim1ubor9d9sbweslv8or,0,0,0,0
sq3n2yrc9oix9xbf7j6ta6kf,0,0,0,0
srue929wie58a44hsus7u3pq,0,0,0,0
ssxk4309w1a2lru7zl62jn4b,0,0,0,0
sw1664uyq2kk0hiy93um28y2,0,0,0,0
sw3vjhrne39iaqnyggi2ecxi,0,0,0,0
sybujbswng9l1imoys6zqeav,0,0,0,0
t6iyl0ad1e03glkt0bblw75j,0,0,0,0
t9b1x9y0oyxcf8vhff8buu0x,0,0,0,0
t9l0php3oidzp3sm146gdzbc,0,0,0,0
tbb3mwap256tjfutn1ylzrmr,0,0,0,0
tcjc100a3kyhceh1ocl3idq8,0,0,0,0
tfa4znf5y1wsi4l6kt8uizdx,0,0,0,0
tlvesdku3wbrjmw2vc81o2yv,0,0,0,0
tnhklic5iyq0vh5fqatla2al,0,0,0,0
tpmo45du0hq5ms9ozxyspwcd,0,0,0,0
tuwe3rt6yefgfh6ilrayfxl0,0,0,0,0
tvn2bzd303giw1e19mg1cr9t,0,0,0,0
ty1wskoh98xaoxyihob0v19g,0,0,0,0
u2wlh2xmb8r1v9sg8vxivzbz,0,0,0,0
u55xz19eaoxuzl0aphnmunn8,0,0,0,0
u7py5mlbbtkxhsf04vzxf5q2,0,0,0,0
ufid3xr3z51350iidywqc1da,0,0,1,1
ujgygyxx3lie3tjq12bmw19g,0,0,0,0
ujvb7963rvrp03czb7gwkpiy,0,0,0,0
uoqadaa6ak52gddbv6let3aw,0,0,0,0
uqkl119q6s11o7q58pofozb5,0,0,1,1
uqom99g7ey39ch27dt56mi4a,0,0,0,0
us4eun7345fmumzs9dz3itmy,0,0,0,0
usxqlkcwscnhe9ht38avmk52,0,0,0,0
utx231aq2hi839r9d441k2ga,0,0,0,0
uxeouv24r90uigdoy69jkiva,0,0,0,0
v077itmn4fcuk26clbe27c2y,0,0,0,0
v1drvbjxr5612wvtf94js1ox,0,0,0,0
v4aafmya1o9jdi1gyqw24qcw,0,0,0,0
v7ahvqm23r0dh50av05yez69,0,0,0,0
v7kop23uju5kchhpflsruuwj,0,0,0,0
v92zl14170e2w4jnmx79imby,0,0,0,0
vajyhtc5oy4sv1uiga20e6fy,0,0,0,0
vhgct5yl76ewd8dt2jm8zuqc,0,0,0,0
vj8758r7tzrlqkhrm38dt8kg,0,0,0,0
vkfqzm7m5gtz5xl8jqnu1o2w,0,0,0,0
vlilw8g7c0f9b1lyd7062o59,0,0,0,0
vn5vsnpp3hkf9rdf4jzzhxzo,0,0,0,0
vno1r5izi6xu4qgr0ygzsp4m,0,0,0,0
volpnekr5yah8grtws09izkp,0,0,0,0
voys5xqr4u76nx1lvh2r9dbn,0,0,0,0
vqadqpwhsiy6f1m3dv43bpzc,0,0,0,0
vqjjti1tfihk2z23c04g2j6d,0,0,0,0
vql2msmflray2huzrs0k4c1w,0,0,0,0
vrqbehqvie7zt25yyl6cs99r,0,0,0,0
vwpz9qs5dz3d9w0yzqt3gczb,0,0,0,0
vxqdd4cikkvjqng6qsa68pbq,0,0,0,0
vymrc339mr590qlz88yjvwdz,0,0,0,0
w00u1z0uplczwjhwva5rmcz1,0,0,0,0
w4ojmi3nbf00ig5go1n86ijq,0,0,0,0
w9hn7bwz2gwnf2dwa0jzfvzh,0,0,0,0
wbrayn4ein1ornafqkzxqib7,0,0,0,0
wclxp7v1lk7nc4bn06c012jv,0,0,0,0
wengnax64w68gljuenmzyqqd,0,0,0,0
wjqgkx4ub57fihda7xpb2z56,0,0,0,0
wkajt1hjtrrrwqr4qu8zfvsg,0,0,0,0
wlouow63ym9ij9tmk3t97svz,0,0,0,0
wnkgo7hwl1kqou9ybk0qbh28,0,0,0,0
wq5ml1y0on92fp9ujayoln0a,0,0,0,0
wsfm2x8nz31jo2s681f3q556,0,0,0,0
wvlwgws9asevbhciuprmnl8m,0,0,0,0
x0ejvi2xzy1ozig1y6kjffnl,0,0,0,0
x2ebfgg47v7m96chhh1diyu0,0,0,0,0
x41von3kmtt880jdipapgh5u,0,0,0,0
x5z699na6147yuokwnni1j5k,0,0,0,0
x64mm9omc4vz5l011jbr8hiv,0,0,0,0
xddyqw8ul4ov7lah5jskuqyy,0,0,0,0
xdwc1fgq59k0sj7pfonlazrn,0,0,0,0
xe1w22rz1yls6vylg6pbi0xn,0,0,0,0
xej4mi7p65f4kfi5st8kj82j,0,0,0,0
xh456xpp4fi706w2tqkmx72r,0,0,1,1
xkepidji57pz2aiggs7qaxct,0,0,0,0
xnt4z9rf8xls7vfaxzmvvky6,0,0,0,0
xuee5leya9tse7a3n91fo39a,0,0,1,1
xvr0714c81d01xivn2r7ynfc,0,0,0,0
xx0ilpgic5d123siuza5fxdd,0,0,0,0
y15fx57tsqewb18w4fx8fx0f,0,0,0,0
y1wjcsezpvmmsuytboyo2ksr,0,0,0,0
y2pzf1haszw0kq1gqtowdjon,0,0,0,0
y4qhqox9ynmp15x759a60vl4,0,0,0,0
y6zsv7qbm4oryfaxeorguusk,0,0,0,0
y9w8lbj9c158wpcmqvtrxg6p,0,0,0,0
yag706wo0vab4v6cleo4hpwg,0,0,0,0
ybnburmqp65m5j8hhjhwvztg,0,0,1,1
ydkwzjz5kc9k1a7ssyq5l51j,0,1,0,1
yi1wxy0hv7vxmqluf5cfj6pk,0,0,0,0
yi7nf7uhonafj9amsucdceak,0,0,0,0
yjhajg9zjrj0w16tzvsd4qq0,0,0,0,0
yjnyuqkrxszy0ahi1xyxkhnj,0,0,0,0
ykw9wsizlna098p5k6ybghad,0,0,0,0
yllbniadhp4jx1ubqkkmzyu8,0,0,0,0
ylrtegmv4loypw576rlq3xqb,0,0,0,0
ypjxwfu4euvryu6t426wbr7a,0,0,0,0
yqkvwhyb2wgye7goj0ktkpbf,0,0,0,0
yqqvu6tjcmeu45n5yoco4hem,0,0,0,0
yt5l5183flms09hs4qg4epp8,0,0,0,0
yxfptabbb9w73ayp02yu8pri,0,0,0,0
yzh5qr3lpicc84br7kh0qsdu,0,0,0,0
z2sgrx5cta3p5efi42r5uew1,0,0,0,0
z5glanq69n2ayamlclysb9bi,0,0,0,0
z65bmeqo9vgvq5hyi48l1lcf,0,0,0,0
z6w1gmiohlbpy5ceuvdjb88g,0,0,0,0
z884874by6a1ovcqbbhdsbvb,0,0,0,0
zbe6gfptq8ae6ron22rgoa69,0,0,0,0
zgq38xwnwa8ymzbvjvlodnrj,0,0,0,0
zjpua5vmv2j1dpi7ku0gekkt,0,0,0,0
zkiz6zpdlkbevdh6q2rsnqsi,0,0,0,0
zl07u2r964jotrsjbetcejql,0,0,0,0
zlm9eznh9b6q9k0j0iph68gc,0,0,0,0
zlmgusf7atsmc5tx1w8pbhq4,0,0,0,0
zmpsj7cxjgi2jcr01s59151u,0,0,0,0
zn6d6b7s0jtnba78llxwvc99,0,0,0,0
ztldu143n3d2lp81riqc7pph,0,0,0,0
zvqf3ssyoifsnjlsq0h6huha,0,0,0,0
zzo9v1zukcxpw6j68690fmxk,0,0,0,0
