subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
d4j3n6s052ilouwmwlt5ddgm,5,13,3,2,2,0,0.0,1.0,0.8061,0.8115206327050851,0.014540859282018573,0.1450349528056576,-0.22342469304660995,-5.465132979803874,-0.09058809656437775,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,6,37,3,1,3,1,0.0,1.0,0.7565,0.7491897911411183,0.025085858028085675,0.1450349528056576,-0.31393016220127024,-5.465132979803874,0.07186059666448405,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,8,58,3,2,2,1,0.0,1.0,0.9622,0.9584383623135642,0.0008883201572551609,0.1450349528056576,-0.04333898381212897,-5.465132979803874,0.20604717887889157,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,9,40,4,2,2,1,0.0,1.0,0.8469,0.852650865701182,0.00915010847088409,0.1450349528056576,-0.16857307262452004,-5.465132979803874,0.08939002933046652,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,10,73,4,1,3,0,0.0,1.0,0.7496,0.754417296776243,0.024363977251770117,0.1450349528056576,-0.3062643861070278,-5.465132979803874,0.103949224660868,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,11,63,5,1,2,0,2.0,0.0,0.4081,0.595251124799692,0.07395938721379727,0.1450349528056576,-0.5936001433407689,-5.465132979803874,0.19267847308931985,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,12,52,5,2,2,1,1.0,0.0,0.8581,0.14180486902390224,0.3005657620246732,0.1450349528056576,-2.254300026663625,-5.465132979803874,0.1716124199119088,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,13,76,5,2,2,1,0.0,1.0,0.8701,0.8678398322416009,0.007798614620944231,0.1450349528056576,-0.1495631252045424,-5.465132979803874,-0.051666245009642245,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,14,54,6,1,2,1,0.0,1.0,0.6211,0.6254799306012943,0.056968387652250985,0.1450349528056576,-0.5263948498115862,-5.465132979803874,0.06146953737997342,0.13255429937909702
d4j3n6s052ilouwmwlt5ddgm,15,66,8,1,2,1,0.0,1.0,0.7741,0.7767128919154048,0.021676914190640675,0.1450349528056576,-0.2744514875955506,-5.465132979803874,0.09435643657340287,0.13255429937909702
