intercept,n_features,n_rules,distractor,rt
1,2,4,-0.5,-0.04564
1,2,4,-0.5,-0.284785
1,1,3,0.5,-0.226743
1,1,3,0.5,1.495828
1,1,3,0.5,1.074811
1,1,3,-0.5,-0.787741
1,1,3,-0.5,-0.008068
1,1,3,-0.5,-0.01774
1,1,2,0.5,-2.243596
1,1,2,0.5,-1.960012
1,1,2,0.5,-0.502241
1,1,2,-0.5,-2.738035
1,1,2,-0.5,-2.22883
1,1,2,-0.5,-1.076236
1,1,2,0.5,-1.770983
1,1,2,0.5,-1.033064
1,1,2,0.5,-1.214314
1,1,2,-0.5,-1.461273
1,1,2,-0.5,-1.035423
1,1,2,-0.5,-0.820058
1,2,4,0.5,1.212873
1,2,4,0.5,1.401762
1,2,4,0.5,1.129348
1,2,4,-0.5,0.599446
1,2,4,-0.5,1.241252
1,2,4,-0.5,1.417159
1,2,3,0.5,1.49769
1,2,3,0.5,1.945138
1,2,3,0.5,0.976488
1,2,3,-0.5,1.074181
1,2,3,-0.5,0.988962
1,2,3,-0.5,2.038644
1,3,5,0.5,0.359813
1,3,5,0.5,0.425194
1,3,5,0.5,0.092276
1,3,5,-0.5,0.043269
1,3,5,-0.5,0.750064
1,3,5,-0.5,-0.119337
1,4,5,0.5,-0.36584
1,4,5,0.5,-0.660644
1,4,5,0.5,-1.626228
1,4,5,-0.5,0.134684
1,4,5,-0.5,0.110134
1,4,5,-0.5,-0.586297
1,2,5,0.5,-0.025711
1,2,5,0.5,0.010749
1,2,5,0.5,0.269302
1,2,5,-0.5,-0.751495
1,2,5,-0.5,-0.0318
1,2,5,-0.5,-0.076146
1,2,2,0.5,0.482742
1,2,2,0.5,-0.794898
1,2,2,0.5,-0.439759
1,2,2,-0.5,0.386076
1,2,2,-0.5,0.014765
1,2,2,-0.5,-0.110399
1,3,6,0.5,0.000388
1,3,6,0.5,-0.873215
1,3,6,0.5,-0.247706
1,3,6,-0.5,-0.549768
1,3,6,-0.5,0.822489
1,3,6,-0.5,-1.986077
1,3,4,0.5,0.375671
1,3,4,0.5,1.751966
1,3,4,0.5,0.539651
1,3,4,-0.5,0.286519
1,3,4,-0.5,0.795722
1,3,4,-0.5,-0.173291
1,3,3,0.5,0.309429
1,3,3,0.5,0.990823
1,3,3,0.5,-0.036081
1,3,3,-0.5,0.156613
1,3,3,-0.5,-0.23277
1,3,3,-0.5,0.141901
