subject,age,gender,block,trial,testform,item,dimension,distractor,puzzle,accuracy,rt
686903,24,Female,1,25,2,1,2,minimal,1_single__101010001010_shape_set_20_T.jpeg,1,3.306
686903,24,Female,1,26,2,2,1,paired,2_double__0000020001001020_shape_set_4_T.jpeg,1,6.798
686903,24,Female,1,27,2,3,1,minimal,3_clockwork3_single__000011010200_shape_set_17_T.jpeg,1,2.7
686903,24,Female,1,28,2,4,1,minimal,4_flower_single__02001220000001000200_shape_set_20_T.jpeg,1,5.229
686903,24,Female,1,29,2,12,4,paired,12_double__1212102211111221_shape_set_17_T.jpeg,0,11.338
686903,24,Female,1,30,2,11,3,paired,11_grid_single__1220111101001121_shape_set_4_T.jpeg,1,16.217
686903,24,Female,1,31,2,13,3,minimal,13_flower_single__01001221122102001122_shape_set_20_T.jpeg,1,25.29
686903,24,Female,1,32,2,14,5,paired,14_triple__112110100000000010021222_shape_set_4_T.jpeg,0,21.005
686907,22,Male,2,1,1,23,4,minimal,23_grid_single__1110120212111121_shape_set_17_T.jpeg,1,17.301000000000002
686907,22,Male,2,2,1,24,7,paired,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,0,28.707
686907,22,Male,2,3,1,22,2,minimal,22_single__112212211220_shape_set_4_T.jpeg,1,9.426
686907,22,Male,2,4,1,8,1,minimal,8_grid_single__0100000000001111_shape_set_17_T.jpeg,0,13.749
686907,22,Male,2,5,1,6,2,minimal,6_single__121210101222_shape_set_20_T.jpeg,1,5.756
686907,22,Male,2,6,1,20,2,minimal,20_double__1221010010220000_shape_set_17_T.jpeg,1,16.171
686907,22,Male,2,7,1,21,7,paired,21_triple__100111201112121010221202_shape_set_20_T.jpeg,0,16.567
686907,22,Male,2,8,1,19,2,minimal,19_single__101112201212_shape_set_4_T.jpeg,1,9.365
686907,22,Male,2,9,1,7,1,minimal,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,1,4.283
686907,22,Male,2,10,1,5,1,minimal,5_grid_single__0000000010200000_shape_set_17_T.jpeg,1,1.821
686907,22,Male,2,11,1,11,3,paired,11_grid_single__1220111101001121_shape_set_17_T.jpeg,1,10.053
686907,22,Male,2,12,1,9,1,paired,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,1,4.7
686907,22,Male,2,13,1,10,3,paired,10_triple__000012221120010002000000_shape_set_4_T.jpeg,1,13.293
686907,22,Male,2,14,1,3,1,minimal,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,1,2.473
686907,22,Male,2,15,1,4,1,paired,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,1,3.549
686907,22,Male,2,16,1,2,1,paired,2_double__0000020001001020_shape_set_17_T.jpeg,1,2.602
686907,22,Male,2,17,1,34,3,paired,34_flower_single__11210200122211220100_shape_set_4_T.jpeg,1,11.337
686907,22,Male,2,18,1,25,2,paired,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,0,5.229
686907,22,Male,2,19,1,12,4,minimal,12_double__1212102211111221_shape_set_20_T.jpeg,1,16.919
686907,22,Male,2,20,1,16,4,paired,16_grid_single__1012121112021101_shape_set_4_T.jpeg,1,7.033
686907,22,Male,2,21,1,17,4,paired,17_double__1222110111201012_shape_set_17_T.jpeg,0,16.861
686907,22,Male,2,22,1,18,3,paired,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,1,27.349
