name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
L[2,1]	-0.26	0.0071	0.34	-0.76	-0.3	0.37	2329.0	2.6	1.0
L[2,2]	0.89	0.0026	0.12	0.65	0.94	1.0	2178.0	2.4	1.0
L[2,3]	0.0		0.0	0.0	0.0	0.0			
L[3,1]	0.0086	0.021	0.41	-0.66	0.012	0.71	366.0	0.41	1.0
L[3,2]	0.018	0.017	0.39	-0.63	0.024	0.65	495.0	0.55	1.0
L[3,3]	0.81	0.0057	0.16	0.49	0.85	0.99	761.0	0.85	1.0
sigma[1]	0.86	0.0086	0.22	0.56	0.84	1.3	642.0	0.72	1.0
sigma[2]	0.21	0.004	0.12	0.022	0.2	0.41	874.0	0.98	1.0
sigma[3]	2.4	0.016	0.64	1.6	2.4	3.6	1580.0	1.8	1.0
beta[1]	-0.082	0.05	1.2	-2.0	-0.11	2.0	570.0	0.64	1.0
beta[2]	-0.47	0.05	1.2	-2.6	-0.44	1.5	566.0	0.63	1.0
beta[3]	-0.6	0.049	1.2	-2.6	-0.6	1.4	573.0	0.64	1.0
beta[4]	-0.27	0.06	1.4	-2.5	-0.32	2.0	526.0	0.59	1.0
beta[5]	-0.28	0.052	1.2	-2.3	-0.31	1.8	555.0	0.62	1.0
beta[6]	-0.14	0.023	0.69	-1.1	-0.25	1.1	889.0	1.0	1.0
beta[7]	-0.53	0.051	1.2	-2.6	-0.51	1.5	572.0	0.64	1.0
beta[8]	-1.3	0.014	0.54	-2.0	-1.3	-0.24	1490.0	1.7	1.0
beta[9]	-0.17	0.046	1.1	-2.1	-0.18	1.7	586.0	0.66	1.0
beta[10]	-0.096	0.0059	0.31	-0.57	-0.12	0.42	2800.0	3.1	1.0
beta[11]	0.28	0.016	0.53	-0.44	0.2	1.2	1046.0	1.2	1.0
beta[12]	0.67	0.0053	0.31	0.21	0.65	1.2	3352.0	3.8	1.0
beta[13]	0.37	0.0047	0.28	-0.066	0.35	0.85	3689.0	4.1	1.0
beta[14]	0.69	0.0062	0.35	0.17	0.66	1.3	3227.0	3.6	1.0
beta[15]	0.07	0.0053	0.31	-0.38	0.051	0.58	3368.0	3.8	1.0
beta[16]	0.037	0.041	1.1	-1.8	0.044	1.8	657.0	0.74	1.0
beta[17]	0.06	0.012	0.43	-0.52	-0.01	0.87	1353.0	1.5	1.0
beta[18]	0.87	0.0079	0.42	0.3	0.81	1.6	2880.0	3.2	1.0
beta[19]	-0.34	0.012	0.49	-1.0	-0.41	0.57	1630.0	1.8	1.0
beta[20]	-0.62	0.0071	0.34	-1.1	-0.64	-0.023	2268.0	2.5	1.0
beta[21]	0.61	0.015	0.51	-0.056	0.51	1.6	1117.0	1.3	1.0
beta[22]	-1.1	0.013	0.53	-1.8	-1.2	-0.094	1729.0	1.9	1.0
beta[23]	-0.53	0.0082	0.37	-1.1	-0.56	0.14	2100.0	2.4	1.0
beta[24]	0.79	0.0048	0.28	0.35	0.77	1.3	3472.0	3.9	1.0
beta[25]	-0.77	0.034	0.91	-2.1	-0.85	0.86	710.0	0.8	1.0
beta[26]	0.79	0.0054	0.29	0.35	0.77	1.3	2810.0	3.2	1.0
beta[27]	-0.24	0.0067	0.34	-0.71	-0.26	0.32	2529.0	2.8	1.0
