name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
xi_pr[1,2]	-0.63	0.016	0.42	-1.4	-0.6	-0.015	698.0	17.0	1.0
xi_pr[1,3]	0.032	0.011	0.33	-0.49	0.024	0.58	963.0	24.0	1.0
xi_pr[1,4]	0.023	0.011	0.33	-0.51	0.017	0.57	861.0	21.0	1.0
xi_pr[1,5]	0.96	0.013	0.48	0.27	0.91	1.8	1269.0	31.0	1.0
xi_pr[1,6]	0.83	0.011	0.43	0.18	0.8	1.6	1527.0	37.0	1.0
xi_pr[1,7]	0.47	0.012	0.42	-0.14	0.45	1.2	1146.0	28.0	1.0
xi_pr[1,8]	-0.99	0.012	0.36	-1.6	-0.98	-0.43	966.0	24.0	1.0
xi_pr[1,9]	0.36	0.0099	0.38	-0.22	0.34	1.0	1511.0	37.0	1.0
xi_pr[1,10]	-0.23	0.011	0.38	-0.84	-0.22	0.4	1226.0	30.0	1.0
xi_pr[1,11]	-0.6	0.012	0.37	-1.2	-0.58	-0.027	971.0	24.0	1.0
xi_pr[1,12]	-0.56	0.01	0.33	-1.1	-0.55	-0.028	995.0	24.0	1.0
xi_pr[1,13]	-0.88	0.011	0.36	-1.5	-0.87	-0.32	996.0	24.0	1.0
xi_pr[1,14]	0.31	0.011	0.37	-0.26	0.29	0.96	1262.0	31.0	1.0
xi_pr[1,15]	1.2	0.013	0.5	0.49	1.2	2.1	1476.0	36.0	1.0
xi_pr[1,16]	1.8	0.014	0.56	0.91	1.7	2.8	1626.0	40.0	1.0
xi_pr[2,1]	0.56	0.018	0.93	-0.96	0.57	2.0	2702.0	66.0	1.0
xi_pr[2,2]	-0.69	0.025	0.91	-2.2	-0.72	0.86	1348.0	33.0	1.0
xi_pr[2,3]	0.092	0.021	0.88	-1.4	0.092	1.5	1822.0	45.0	1.0
xi_pr[2,4]	0.18	0.017	0.88	-1.3	0.19	1.6	2635.0	64.0	1.0
xi_pr[2,5]	-0.054	0.016	0.88	-1.5	-0.075	1.4	2879.0	70.0	1.0
xi_pr[2,6]	0.27	0.016	0.86	-1.1	0.28	1.7	2863.0	70.0	1.0
xi_pr[2,7]	-0.31	0.018	0.9	-1.7	-0.36	1.2	2395.0	59.0	1.0
xi_pr[2,8]	0.74	0.022	0.91	-0.79	0.75	2.1	1750.0	43.0	1.0
xi_pr[2,9]	-0.52	0.02	0.93	-2.0	-0.55	1.1	2067.0	50.0	1.0
xi_pr[2,10]	-0.59	0.018	0.88	-2.0	-0.6	0.87	2247.0	55.0	1.0
xi_pr[2,11]	-0.38	0.017	0.86	-1.7	-0.41	1.1	2486.0	61.0	1.0
xi_pr[2,12]	0.12	0.017	0.87	-1.3	0.11	1.6	2701.0	66.0	1.0
xi_pr[2,13]	0.35	0.02	0.91	-1.1	0.35	1.8	2165.0	53.0	1.0
xi_pr[2,14]	-0.16	0.017	0.88	-1.6	-0.16	1.3	2729.0	67.0	1.0
xi_pr[2,15]	-0.059	0.016	0.9	-1.5	-0.087	1.5	3174.0	78.0	1.0
xi_pr[2,16]	0.59	0.019	0.9	-0.93	0.62	2.1	2212.0	54.0	1.0
L[1,1]	1.0		6e-16	1.0	1.0	1.0			
L[1,2]	0.0		0.0	0.0	0.0	0.0			
L[2,1]	-0.22	0.0077	0.35	-0.75	-0.24	0.41	2132.0	52.0	1.0
L[2,2]	0.9	0.0028	0.12	0.65	0.95	1.0	1804.0	44.0	1.0
sigma[1]	1.3	0.0085	0.3	0.9	1.3	1.9	1279.0	31.0	1.0
sigma[2]	0.48	0.016	0.32	0.047	0.43	1.1	416.0	10.0	1.0
beta[1]	-2.4	0.015	0.59	-3.5	-2.3	-1.6	1538.0	38.0	1.0
beta[2]	-0.72	0.01	0.44	-1.5	-0.66	-0.12	1873.0	46.0	1.0
beta[3]	0.13	0.0041	0.27	-0.29	0.12	0.56	4267.0	104.0	1.0
beta[4]	0.12	0.0061	0.3	-0.33	0.11	0.58	2428.0	59.0	1.0
beta[5]	1.3	0.012	0.56	0.64	1.2	2.4	2053.0	50.0	1.0
beta[6]	1.2	0.0093	0.47	0.53	1.1	2.0	2559.0	62.0	1.0
beta[7]	0.7	0.013	0.49	0.12	0.62	1.5	1406.0	34.0	1.0
beta[8]	-1.2	0.0092	0.32	-1.7	-1.1	-0.72	1203.0	29.0	1.0
beta[9]	0.55	0.0086	0.41	-0.015	0.5	1.3	2294.0	56.0	1.0
beta[10]	-0.2	0.0072	0.39	-0.8	-0.19	0.37	2839.0	69.0	1.0
beta[11]	-0.67	0.0073	0.36	-1.3	-0.64	-0.16	2418.0	59.0	1.0
beta[12]	-0.62	0.0048	0.29	-1.1	-0.59	-0.2	3561.0	87.0	1.0
beta[13]	-1.0	0.0079	0.34	-1.6	-0.99	-0.57	1846.0	45.0	1.0
beta[14]	0.48	0.0082	0.39	-0.059	0.44	1.2	2296.0	56.0	1.0
beta[15]	1.6	0.013	0.61	0.9	1.5	2.8	2067.0	50.0	1.0
beta[16]	2.4	0.015	0.72	1.4	2.2	3.7	2230.0	54.0	1.0
alpha[1]	2.7	0.077	2.8	1.1	2.0	6.4	1304.0	32.0	1.0
alpha[2]	1.1	0.014	0.44	0.41	1.1	1.8	995.0	24.0	1.0
alpha[3]	1.6	0.027	0.85	0.75	1.4	3.0	978.0	24.0	1.0
alpha[4]	1.7	0.035	1.2	0.8	1.4	3.2	1203.0	29.0	1.0
alpha[5]	1.4	0.029	1.2	0.53	1.2	2.5	1648.0	40.0	1.0
alpha[6]	1.6	0.037	1.5	0.72	1.4	3.0	1615.0	39.0	1.0
alpha[7]	1.2	0.013	0.52	0.43	1.1	2.0	1491.0	36.0	1.0
alpha[8]	2.7	0.083	2.3	1.1	2.0	6.5	779.0	19.0	1.0
alpha[9]	1.1	0.013	0.5	0.39	1.1	1.9	1400.0	34.0	1.0
alpha[10]	1.1	0.012	0.42	0.44	1.1	1.8	1149.0	28.0	1.0
alpha[11]	1.3	0.01	0.46	0.6	1.2	2.0	1974.0	48.0	1.0
alpha[12]	1.7	0.027	0.93	0.84	1.5	3.1	1192.0	29.0	1.0
alpha[13]	2.1	0.089	2.3	0.94	1.6	4.3	651.0	16.0	1.0
alpha[14]	1.3	0.015	0.62	0.56	1.2	2.2	1802.0	44.0	1.0
alpha[15]	1.3	0.017	0.71	0.5	1.2	2.3	1774.0	43.0	1.0
alpha[16]	1.9	0.09	2.9	0.77	1.4	3.9	1073.0	26.0	1.0
