name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[33]	0.87	0.003	0.19	0.59	0.86	1.2	4172.0	31.0	1.0
alpha[34]	0.77	0.0028	0.19	0.48	0.76	1.1	4556.0	34.0	1.0
alpha[35]	0.9	0.0035	0.21	0.6	0.88	1.3	3803.0	28.0	1.0
alpha[36]	0.6	0.0035	0.16	0.34	0.6	0.87	2050.0	15.0	1.0
alpha[37]	0.94	0.0041	0.24	0.59	0.91	1.4	3521.0	26.0	1.0
alpha[38]	1.4	0.0073	0.39	0.92	1.4	2.2	2810.0	21.0	1.0
alpha[39]	0.91	0.0034	0.21	0.59	0.89	1.3	3746.0	28.0	1.0
alpha[40]	0.93	0.0037	0.25	0.58	0.9	1.4	4473.0	33.0	1.0
alpha[41]	1.2	0.005	0.29	0.79	1.1	1.7	3305.0	25.0	1.0
alpha[42]	0.93	0.0046	0.28	0.54	0.88	1.4	3714.0	28.0	1.0
alpha[43]	0.91	0.0037	0.24	0.57	0.88	1.3	4309.0	32.0	1.0
alpha[44]	0.6	0.0034	0.17	0.34	0.59	0.9	2608.0	19.0	1.0
alpha[45]	0.98	0.0039	0.25	0.62	0.95	1.4	4034.0	30.0	1.0
alpha[46]	0.79	0.0035	0.21	0.47	0.78	1.2	3861.0	29.0	1.0
alpha[47]	0.84	0.0036	0.24	0.49	0.81	1.3	4431.0	33.0	1.0
alpha[48]	1.1	0.0066	0.36	0.66	1.0	1.8	2994.0	22.0	1.0
alpha[49]	1.1	0.0047	0.28	0.7	1.1	1.6	3572.0	27.0	1.0
alpha[50]	0.95	0.004	0.25	0.59	0.93	1.4	4020.0	30.0	1.0
alpha[51]	1.0	0.0048	0.3	0.59	0.96	1.6	4097.0	31.0	1.0
alpha[52]	0.83	0.0035	0.24	0.5	0.82	1.3	4628.0	35.0	1.0
alpha[53]	0.76	0.0034	0.22	0.43	0.74	1.1	4223.0	32.0	1.0
alpha[54]	0.84	0.0041	0.26	0.49	0.8	1.3	4062.0	30.0	1.0
alpha[55]	0.77	0.0036	0.22	0.44	0.75	1.2	3905.0	29.0	1.0
alpha[56]	0.81	0.0037	0.24	0.47	0.79	1.3	4305.0	32.0	1.0
alpha[57]	0.87	0.0045	0.25	0.51	0.85	1.3	3015.0	23.0	1.0
alpha[58]	0.8	0.0038	0.23	0.45	0.79	1.2	3789.0	28.0	1.0
alpha[59]	0.74	0.0035	0.22	0.42	0.72	1.1	4005.0	30.0	1.0
alpha[60]	0.84	0.0038	0.26	0.47	0.81	1.3	4551.0	34.0	1.0
alpha[61]	0.84	0.004	0.26	0.49	0.79	1.3	4395.0	33.0	1.0
alpha[62]	0.9	0.004	0.27	0.52	0.87	1.4	4484.0	34.0	1.0
alpha[63]	0.69	0.0036	0.21	0.38	0.67	1.0	3361.0	25.0	1.0
alpha[64]	0.83	0.0039	0.26	0.45	0.8	1.3	4234.0	32.0	1.0
alpha[65]	0.77	0.0038	0.24	0.43	0.75	1.2	3948.0	30.0	1.0
alpha[66]	0.8	0.0037	0.25	0.45	0.77	1.2	4514.0	34.0	1.0
alpha[67]	0.83	0.0038	0.25	0.46	0.81	1.3	4487.0	34.0	1.0
alpha[68]	1.2	0.0054	0.33	0.73	1.2	1.8	3792.0	28.0	1.0
alpha[69]	0.83	0.0039	0.25	0.47	0.81	1.3	4072.0	30.0	1.0
alpha[70]	1.1	0.005	0.3	0.65	1.0	1.6	3509.0	26.0	1.0
alpha[71]	1.1	0.0046	0.32	0.65	1.1	1.6	4700.0	35.0	1.0
alpha[72]	0.92	0.0044	0.3	0.51	0.89	1.4	4567.0	34.0	1.0
alpha[73]	0.92	0.0042	0.27	0.52	0.89	1.4	4209.0	31.0	1.0
alpha[74]	0.94	0.0051	0.32	0.51	0.9	1.5	3971.0	30.0	1.0
alpha[75]	0.93	0.0042	0.29	0.54	0.9	1.5	4715.0	35.0	1.0
alpha[76]	0.81	0.0037	0.26	0.46	0.77	1.3	4762.0	36.0	1.0
alpha[77]	0.88	0.0041	0.26	0.48	0.86	1.3	4119.0	31.0	1.0
alpha[78]	0.83	0.0038	0.26	0.48	0.79	1.3	4631.0	35.0	1.0
alpha[79]	0.84	0.0037	0.26	0.47	0.81	1.3	4899.0	37.0	1.0
alpha[80]	0.82	0.0042	0.26	0.44	0.79	1.3	3892.0	29.0	1.0
