subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
269f5wxawxko5vbndnerjhvt	3	3	11	1.0	0.76625	0.7585439965529528	-0.33918178722993975
269f5wxawxko5vbndnerjhvt	4	3	18	0.0	0.766	0.22973609413466473	-1.96135123343929
269f5wxawxko5vbndnerjhvt	5	4	16	1.0	0.9565	0.9552566491488743	-0.05545238821363524
269f5wxawxko5vbndnerjhvt	6	4	17	1.0	0.6765	0.6666198530072069	-0.4605375358518141
269f5wxawxko5vbndnerjhvt	7	5	52	1.0	0.4945	0.49831653865412556	-0.786931979259408
269f5wxawxko5vbndnerjhvt	8	5	59	1.0	0.37925	0.3771178923100531	-1.0701062911443522
2h7dpwlrhggmhm1t3amwo0oj	1	2	1	1.0	0.99275	0.9947879646622243	-0.005468521702712769
2h7dpwlrhggmhm1t3amwo0oj	2	2	6	1.0	0.853	0.855760002399962	-0.17130529054606494
2h7dpwlrhggmhm1t3amwo0oj	3	3	11	1.0	0.793	0.7950651549726366	-0.2755591006883636
2h7dpwlrhggmhm1t3amwo0oj	4	3	18	1.0	0.80225	0.8031089401490817	-0.2453778919763756
2h7dpwlrhggmhm1t3amwo0oj	5	4	16	1.0	0.972	0.9678659409162751	-0.03865703546725151
2h7dpwlrhggmhm1t3amwo0oj	6	4	17	1.0	0.69	0.6985542287974801	-0.40331049169425476
2h7dpwlrhggmhm1t3amwo0oj	7	5	52	1.0	0.538	0.5247166813719799	-0.7286024504591848
2h7dpwlrhggmhm1t3amwo0oj	8	5	59	0.0	0.383	0.6190573105843579	-0.5420862724692506
2vx94rtcv5761j9exne2q7tc	1	2	19	0.0	0.60075	0.4044848132240645	-1.0692286080504911
2vx94rtcv5761j9exne2q7tc	2	2	20	0.0	0.5705	0.4210863014360533	-1.0914985685795215
2vx94rtcv5761j9exne2q7tc	3	3	11	0.0	0.4435	0.5608573081156634	-0.6538073627897515
2vx94rtcv5761j9exne2q7tc	4	3	18	1.0	0.51225	0.5286052089431524	-0.69776721844119
2vx94rtcv5761j9exne2q7tc	5	4	12	1.0	0.34925	0.3360437543671511	-1.1301825225411108
2vx94rtcv5761j9exne2q7tc	6	4	23	1.0	0.67675	0.6830386084448723	-0.47879429834602805
2vx94rtcv5761j9exne2q7tc	7	5	52	0.0	0.305	0.6811448441497837	-0.3927477679367497
2vx94rtcv5761j9exne2q7tc	8	5	59	0.0	0.26725	0.7296933238356085	-0.3166111956062124
35aldkywb2cdl1crrf5iyowk	1	2	1	1.0	0.9565	0.9501295640751105	-0.06420049644859809
35aldkywb2cdl1crrf5iyowk	2	2	6	1.0	0.6245	0.6290317172722191	-0.5115312981331411
35aldkywb2cdl1crrf5iyowk	3	3	11	0.0	0.455	0.5362866163051683	-0.7125549827333362
35aldkywb2cdl1crrf5iyowk	4	3	18	0.0	0.539	0.45295434025579023	-0.881730325387075
35aldkywb2cdl1crrf5iyowk	5	4	12	0.0	0.34175	0.6558050368945066	-0.4398436624056158
35aldkywb2cdl1crrf5iyowk	6	4	23	1.0	0.722	0.7221652214017477	-0.4042669347537827
35aldkywb2cdl1crrf5iyowk	7	5	14	0.0	0.336	0.6653364215485577	-0.4230384440504529
35aldkywb2cdl1crrf5iyowk	8	5	26	0.0	0.42575	0.5699968854682973	-0.6069220394861946
3d10c17cmj2694l83ha5s0bz	1	2	19	1.0	0.7865	0.7949280472477221	-0.2563044502763312
3d10c17cmj2694l83ha5s0bz	2	2	20	1.0	0.81875	0.8153084035124661	-0.2370869673173877
3d10c17cmj2694l83ha5s0bz	3	3	11	0.0	0.66775	0.34250964235952397	-1.4000337889625034
3d10c17cmj2694l83ha5s0bz	4	3	18	1.0	0.7125	0.7115790244731908	-0.376164591758556
3d10c17cmj2694l83ha5s0bz	5	4	12	1.0	0.45825	0.45750305517142453	-0.8546449539715145
3d10c17cmj2694l83ha5s0bz	6	4	23	1.0	0.889	0.8912781336317986	-0.13483482299148325
3d10c17cmj2694l83ha5s0bz	7	5	14	0.0	0.452	0.544559813027466	-0.6978830863783609
3d10c17cmj2694l83ha5s0bz	8	5	26	1.0	0.60625	0.5972055654401711	-0.5798932450302448
3ec999ycpel7dfncdwejf065	1	2	19	1.0	0.727	0.7143539974683852	-0.379353690780894
3ec999ycpel7dfncdwejf065	2	2	20	1.0	0.727	0.7262444066785322	-0.3769001960516852
3ec999ycpel7dfncdwejf065	3	3	15	0.0	0.488	0.5177176514538105	-0.7230108294842672
3ec999ycpel7dfncdwejf065	4	3	10	0.0	0.5355	0.4465698271205253	-0.9627529503191872
3ec999ycpel7dfncdwejf065	5	4	12	0.0	0.3865	0.6123465226871055	-0.5183586555767268
3ec999ycpel7dfncdwejf065	6	4	23	1.0	0.82625	0.8182725201990992	-0.2473005814504142
3ec999ycpel7dfncdwejf065	7	5	14	0.0	0.386	0.6158277380505939	-0.5241452042655678
3ec999ycpel7dfncdwejf065	8	5	26	1.0	0.49925	0.5081563940243715	-0.7445418558313196
3pb65a6ips5u5tm3kthitq9r	1	2	1	1.0	0.992	0.9911243727986536	-0.009605064414762469
3pb65a6ips5u5tm3kthitq9r	2	2	6	1.0	0.82725	0.8225636095960653	-0.21700021516720486
3pb65a6ips5u5tm3kthitq9r	3	3	15	1.0	0.6265	0.6311055036830917	-0.5232263827739847
3pb65a6ips5u5tm3kthitq9r	4	3	10	1.0	0.72725	0.7374119737579119	-0.3671464153526639
3pb65a6ips5u5tm3kthitq9r	5	4	12	1.0	0.52025	0.5213594310775759	-0.7351988658481133
3pb65a6ips5u5tm3kthitq9r	6	4	23	1.0	0.9185	0.9218497181280872	-0.0983797109878295
3pb65a6ips5u5tm3kthitq9r	7	5	52	0.0	0.4815	0.5308093893878411	-0.7277543192654842
3pb65a6ips5u5tm3kthitq9r	8	5	59	0.0	0.35775	0.6509888786402516	-0.46408877239470636
47ykiekww9y3m9xiv79o4xp8	1	2	1	1.0	0.988	0.9873702821151036	-0.013676192413451367
47ykiekww9y3m9xiv79o4xp8	2	2	6	1.0	0.78875	0.7861643845430845	-0.2668270719068045
47ykiekww9y3m9xiv79o4xp8	3	3	15	0.0	0.57125	0.42815970002424547	-1.010357793853302
47ykiekww9y3m9xiv79o4xp8	4	3	10	1.0	0.68075	0.6817952809878386	-0.45690467038725
47ykiekww9y3m9xiv79o4xp8	5	4	16	1.0	0.9305	0.9284425025058871	-0.09186676983560566
47ykiekww9y3m9xiv79o4xp8	6	4	17	0.0	0.60875	0.40489343124312827	-1.0638694175723529
47ykiekww9y3m9xiv79o4xp8	7	5	14	1.0	0.485	0.48497529391290195	-0.8233500549410159
47ykiekww9y3m9xiv79o4xp8	8	5	26	1.0	0.612	0.6126377050631585	-0.5634632901299046
4fqdfdjmop2egr2j5gwum6dv	1	2	1	1.0	0.98675	0.9874704536654024	-0.014096696055565145
4fqdfdjmop2egr2j5gwum6dv	2	2	6	1.0	0.78325	0.7918610771501631	-0.2609187556730435
4fqdfdjmop2egr2j5gwum6dv	3	3	11	1.0	0.682	0.6923079980409237	-0.44667323258466507
4fqdfdjmop2egr2j5gwum6dv	4	3	18	0.0	0.717	0.28129840120565214	-1.5997099194461728
4fqdfdjmop2egr2j5gwum6dv	5	4	16	1.0	0.92625	0.9288361879610868	-0.09490684539249473
4fqdfdjmop2egr2j5gwum6dv	6	4	17	1.0	0.606	0.6103398252789677	-0.554152466078055
4fqdfdjmop2egr2j5gwum6dv	7	5	52	1.0	0.43275	0.44128888321018006	-0.8955153041224942
4fqdfdjmop2egr2j5gwum6dv	8	5	59	0.0	0.3285	0.6714752654559324	-0.42510379136179915
4usywut659xwn8vd8ebcvt9p	1	2	19	0.0	0.75725	0.2433029562040426	-1.7703171114421234
4usywut659xwn8vd8ebcvt9p	2	2	20	1.0	0.77225	0.7779401294649886	-0.29790356118544936
4usywut659xwn8vd8ebcvt9p	3	3	15	1.0	0.54325	0.5329377568331807	-0.6928215956203084
4usywut659xwn8vd8ebcvt9p	4	3	10	1.0	0.6215	0.6230963364695729	-0.5506384406585954
4usywut659xwn8vd8ebcvt9p	5	4	12	0.0	0.43125	0.5763842878262739	-0.6049406345370137
4usywut659xwn8vd8ebcvt9p	6	4	23	1.0	0.86825	0.864844992827409	-0.17378472327734726
4usywut659xwn8vd8ebcvt9p	7	5	14	0.0	0.42325	0.5752149378076544	-0.621166908338579
4usywut659xwn8vd8ebcvt9p	8	5	26	1.0	0.5645	0.5594821792850837	-0.6509212481270785
4zcrmlklswop6kcqvyc11gdc	1	2	19	1.0	0.70575	0.705972739587547	-0.393478820736488
4zcrmlklswop6kcqvyc11gdc	2	2	20	0.0	0.693	0.2970734930098306	-1.6468667214424553
4zcrmlklswop6kcqvyc11gdc	3	3	15	1.0	0.4745	0.4796934832339974	-0.7964427943098533
4zcrmlklswop6kcqvyc11gdc	4	3	10	1.0	0.5715	0.5538320292594819	-0.6780319148718685
