subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
2h7dpwlrhggmhm1t3amwo0oj	5	4	16	1.0	0.9585	0.9597740527756488	-0.04619097767542664
2h7dpwlrhggmhm1t3amwo0oj	6	4	17	1.0	0.65025	0.6521573612242785	-0.4593235226543343
2h7dpwlrhggmhm1t3amwo0oj	7	5	52	1.0	0.50225	0.5037298714461642	-0.726902969359458
2h7dpwlrhggmhm1t3amwo0oj	8	5	59	0.0	0.40375	0.5936938331317461	-0.5770549588618985
2vx94rtcv5761j9exne2q7tc	1	2	19	0.0	0.6	0.389336279339107	-1.1040252148855776
2vx94rtcv5761j9exne2q7tc	2	2	20	0.0	0.5925	0.4085261479996172	-1.1433294647851318
2vx94rtcv5761j9exne2q7tc	3	3	11	0.0	0.42925	0.5815464572704605	-0.6732818957338458
2vx94rtcv5761j9exne2q7tc	4	3	18	1.0	0.52625	0.5325621561539259	-0.7240709400659991
2vx94rtcv5761j9exne2q7tc	5	4	12	1.0	0.36175	0.35523760118287123	-1.1356111566246427
2vx94rtcv5761j9exne2q7tc	6	4	23	1.0	0.68725	0.6921868878654756	-0.48511174623477926
2vx94rtcv5761j9exne2q7tc	7	5	52	0.0	0.335	0.6520321628746478	-0.4465866712304249
2vx94rtcv5761j9exne2q7tc	8	5	59	0.0	0.22325	0.7790606235294554	-0.26334499932438304
35aldkywb2cdl1crrf5iyowk	1	2	1	1.0	0.94025	0.9442358451953392	-0.07556740206855825
35aldkywb2cdl1crrf5iyowk	2	2	6	1.0	0.61525	0.623140217422458	-0.5285183608354526
35aldkywb2cdl1crrf5iyowk	3	3	11	0.0	0.427	0.5786132245524978	-0.6830014888924956
35aldkywb2cdl1crrf5iyowk	4	3	18	0.0	0.5365	0.47045672936514427	-0.8694875253419522
35aldkywb2cdl1crrf5iyowk	5	4	12	0.0	0.361	0.6472570152397084	-0.46104759150377167
35aldkywb2cdl1crrf5iyowk	6	4	23	1.0	0.70475	0.6954898567445207	-0.4706856644705095
35aldkywb2cdl1crrf5iyowk	7	5	14	0.0	0.3125	0.7016198865292138	-0.391233664842383
35aldkywb2cdl1crrf5iyowk	8	5	26	0.0	0.4035	0.5891236340724505	-0.5930541064737073
3d10c17cmj2694l83ha5s0bz	1	2	19	1.0	0.7765	0.7825225487760427	-0.26780818020276875
3d10c17cmj2694l83ha5s0bz	2	2	20	1.0	0.80875	0.8039595982721376	-0.24679799543362327
3d10c17cmj2694l83ha5s0bz	3	3	11	0.0	0.66175	0.3455772380972995	-1.3903369855733558
3d10c17cmj2694l83ha5s0bz	4	3	18	1.0	0.70325	0.7091344452417996	-0.37767441996881057
3d10c17cmj2694l83ha5s0bz	5	4	12	1.0	0.48775	0.47615322011974553	-0.7958615995854212
3d10c17cmj2694l83ha5s0bz	6	4	23	1.0	0.8745	0.8787777307152228	-0.14685817915967447
3d10c17cmj2694l83ha5s0bz	7	5	14	0.0	0.4675	0.5339620171771707	-0.7212616140341175
3d10c17cmj2694l83ha5s0bz	8	5	26	1.0	0.6005	0.5959817261237568	-0.5805250351589942
3ec999ycpel7dfncdwejf065	1	2	19	1.0	0.72	0.7150527824651357	-0.37049841141222395
3ec999ycpel7dfncdwejf065	2	2	20	1.0	0.72825	0.7244169950938052	-0.37849444002828453
3ec999ycpel7dfncdwejf065	3	3	15	0.0	0.50025	0.5063822192175793	-0.7400568839559116
3ec999ycpel7dfncdwejf065	4	3	10	0.0	0.53475	0.4543597554549344	-0.975875167796945
3ec999ycpel7dfncdwejf065	5	4	12	0.0	0.419	0.5852400809052927	-0.5679550526601299
3ec999ycpel7dfncdwejf065	6	4	23	1.0	0.81425	0.8136212998190377	-0.24752278203939082
3ec999ycpel7dfncdwejf065	7	5	14	0.0	0.375	0.6139617640462373	-0.5439715143382872
3ec999ycpel7dfncdwejf065	8	5	26	1.0	0.504	0.5143625030122555	-0.7556415891814633
3pb65a6ips5u5tm3kthitq9r	1	2	1	1.0	0.99175	0.9921425267437451	-0.008208284875865942
3pb65a6ips5u5tm3kthitq9r	2	2	6	1.0	0.80975	0.8086401549821134	-0.22903027679087995
3pb65a6ips5u5tm3kthitq9r	3	3	15	1.0	0.6105	0.6145058143819175	-0.5325437260077464
3pb65a6ips5u5tm3kthitq9r	4	3	10	1.0	0.72125	0.7292489630678894	-0.3729392973578365
3pb65a6ips5u5tm3kthitq9r	5	4	12	1.0	0.524	0.5200337394530786	-0.7055102710380309
3pb65a6ips5u5tm3kthitq9r	6	4	23	1.0	0.9155	0.9136799992314232	-0.10257525393245681
3pb65a6ips5u5tm3kthitq9r	7	5	52	0.0	0.489	0.5175310874435097	-0.7004582376664251
3pb65a6ips5u5tm3kthitq9r	8	5	59	0.0	0.38175	0.6171318441836957	-0.5298842339619716
47ykiekww9y3m9xiv79o4xp8	1	2	1	1.0	0.992	0.9909239491261373	-0.009546330047683406
47ykiekww9y3m9xiv79o4xp8	2	2	6	1.0	0.80025	0.7969523839731696	-0.24373483251220232
47ykiekww9y3m9xiv79o4xp8	3	3	15	0.0	0.60975	0.40822911624072494	-1.0053722944691161
47ykiekww9y3m9xiv79o4xp8	4	3	10	1.0	0.7085	0.7081533936438202	-0.4122826488380358
47ykiekww9y3m9xiv79o4xp8	5	4	16	1.0	0.939	0.9436170163153137	-0.06740126306306568
47ykiekww9y3m9xiv79o4xp8	6	4	17	0.0	0.6145	0.3879400705298699	-1.0432984337394517
47ykiekww9y3m9xiv79o4xp8	7	5	14	1.0	0.53175	0.5225569357932492	-0.7516826957769922
47ykiekww9y3m9xiv79o4xp8	8	5	26	1.0	0.63925	0.6364266298879354	-0.5094797200530299
4fqdfdjmop2egr2j5gwum6dv	1	2	1	1.0	0.991	0.9883652613152487	-0.012469702314306162
4fqdfdjmop2egr2j5gwum6dv	2	2	6	1.0	0.7655	0.7766876402253665	-0.2727149265118489
4fqdfdjmop2egr2j5gwum6dv	3	3	11	1.0	0.68	0.6826783676343766	-0.47195609524629223
4fqdfdjmop2egr2j5gwum6dv	4	3	18	0.0	0.71	0.28969189881803636	-1.4999706858233859
4fqdfdjmop2egr2j5gwum6dv	5	4	16	1.0	0.9215	0.9270074456459374	-0.09126863713017937
4fqdfdjmop2egr2j5gwum6dv	6	4	17	1.0	0.59475	0.5953178275876557	-0.5560663502348839
4fqdfdjmop2egr2j5gwum6dv	7	5	52	1.0	0.452	0.4563015662928029	-0.8285093889485085
4fqdfdjmop2egr2j5gwum6dv	8	5	59	0.0	0.354	0.6557227393567648	-0.4579303883892725
4usywut659xwn8vd8ebcvt9p	1	2	19	0.0	0.76575	0.2368854266710198	-1.706368725795352
4usywut659xwn8vd8ebcvt9p	2	2	20	1.0	0.77875	0.7845918304653747	-0.27620299126551334
4usywut659xwn8vd8ebcvt9p	3	3	15	1.0	0.549	0.5459176967676572	-0.6550481045170917
4usywut659xwn8vd8ebcvt9p	4	3	10	1.0	0.633	0.6334762831804661	-0.5442230084451916
4usywut659xwn8vd8ebcvt9p	5	4	12	0.0	0.45575	0.5455909218850166	-0.6446873370999474
4usywut659xwn8vd8ebcvt9p	6	4	23	1.0	0.8645	0.8647984810931134	-0.16624805639553716
4usywut659xwn8vd8ebcvt9p	7	5	14	0.0	0.451	0.5568043622706225	-0.6685406073998952
4usywut659xwn8vd8ebcvt9p	8	5	26	1.0	0.5845	0.574372986003509	-0.6234573347645346
4zcrmlklswop6kcqvyc11gdc	1	2	19	1.0	0.71825	0.7173432068997868	-0.36728344815760056
4zcrmlklswop6kcqvyc11gdc	2	2	20	0.0	0.71475	0.27876207277268655	-1.6639844614547812
4zcrmlklswop6kcqvyc11gdc	3	3	15	1.0	0.496	0.501262898675905	-0.7511727921566413
4zcrmlklswop6kcqvyc11gdc	4	3	10	1.0	0.5685	0.5663697569981102	-0.6895811136207143
4zcrmlklswop6kcqvyc11gdc	5	4	16	1.0	0.8675	0.8706221251430047	-0.1747456049754634
4zcrmlklswop6kcqvyc11gdc	6	4	17	0.0	0.52225	0.47412334937309847	-0.8022050299058211
4zcrmlklswop6kcqvyc11gdc	7	5	52	0.0	0.41025	0.5998864730809611	-0.5331879307783999
4zcrmlklswop6kcqvyc11gdc	8	5	59	0.0	0.2745	0.7189202381142832	-0.3510551140786614
58unjwdq1szxwtav4c281qfc	1	2	19	1.0	0.702	0.7096125441327634	-0.381156480462831
58unjwdq1szxwtav4c281qfc	2	2	20	0.0	0.703	0.289610400707593	-1.5972244003388525
58unjwdq1szxwtav4c281qfc	3	3	15	0.0	0.47475	0.5115264049584103	-0.7274289993477339
58unjwdq1szxwtav4c281qfc	4	3	10	1.0	0.55225	0.5539692673453269	-0.7215865815691451
58unjwdq1szxwtav4c281qfc	5	4	12	0.0	0.39925	0.5886292908553071	-0.5612493877602619
58unjwdq1szxwtav4c281qfc	6	4	23	1.0	0.801	0.8061022935135147	-0.2575616821972608
58unjwdq1szxwtav4c281qfc	7	5	14	0.0	0.39125	0.618398046733098	-0.5345585154875603
58unjwdq1szxwtav4c281qfc	8	5	26	1.0	0.5025	0.5084044854726637	-0.7632335200586382
5ad0fxo4nksxnoxek6jnwpqh	1	2	19	1.0	0.71975	0.7208020155734048	-0.35904430030677636
5ad0fxo4nksxnoxek6jnwpqh	2	2	20	0.0	0.72975	0.27404888072960126	-1.629375536656241
5ad0fxo4nksxnoxek6jnwpqh	3	3	11	0.0	0.551	0.43876724105135184	-1.0409522667059616
5ad0fxo4nksxnoxek6jnwpqh	4	3	18	1.0	0.6355	0.6413139829303527	-0.4902079705595533
5ad0fxo4nksxnoxek6jnwpqh	5	4	16	1.0	0.874	0.8773903052860825	-0.15997159170591874
5ad0fxo4nksxnoxek6jnwpqh	6	4	17	0.0	0.535	0.46996103503105663	-0.8109981303450573
5ad0fxo4nksxnoxek6jnwpqh	7	5	14	1.0	0.40775	0.3993797153161811	-1.048702126715296
5ad0fxo4nksxnoxek6jnwpqh	8	5	26	1.0	0.5285	0.5208829193912311	-0.7288854105879173
5b8sbhwigddofjapft20c4tv	1	2	1	1.0	0.996	0.9934744352360881	-0.0068128185763777225
5b8sbhwigddofjapft20c4tv	2	2	6	1.0	0.8155	0.8204479705380947	-0.21176391064579025
5b8sbhwigddofjapft20c4tv	3	3	11	1.0	0.76525	0.7578688416135652	-0.32839997614778876
5b8sbhwigddofjapft20c4tv	4	3	18	1.0	0.76875	0.7723031685109787	-0.2843998257764507
5b8sbhwigddofjapft20c4tv	5	4	12	1.0	0.53225	0.5337565477040896	-0.6770322004849698
5b8sbhwigddofjapft20c4tv	6	4	23	1.0	0.92175	0.9232337148398195	-0.0891982792711269
5b8sbhwigddofjapft20c4tv	7	5	14	0.0	0.55525	0.4506727062352511	-0.9649866748031354
5b8sbhwigddofjapft20c4tv	8	5	26	1.0	0.679	0.6733748074738122	-0.44448975649471945
5d6jhia7y3nyo741tjb9vlsk	1	2	19	1.0	0.7725	0.7662109738937664	-0.2904510462799062
5d6jhia7y3nyo741tjb9vlsk	2	2	20	1.0	0.7855	0.786688182540678	-0.2724297859711127
5d6jhia7y3nyo741tjb9vlsk	3	3	15	0.0	0.546	0.4581422837625147	-0.860905100044755
5d6jhia7y3nyo741tjb9vlsk	4	3	10	0.0	0.61475	0.3756771626980783	-1.2538362225233937
5d6jhia7y3nyo741tjb9vlsk	5	4	12	0.0	0.45825	0.5445481804244152	-0.6496691166214613
5d6jhia7y3nyo741tjb9vlsk	6	4	23	1.0	0.858	0.8649538180947182	-0.16809381502445675
5d6jhia7y3nyo741tjb9vlsk	7	5	14	1.0	0.46725	0.4548333493358105	-0.9005770483891802
5d6jhia7y3nyo741tjb9vlsk	8	5	26	1.0	0.576	0.5772964998628043	-0.6163641189182005
5rnza8evzb7drfy8beyioein	1	2	1	1.0	0.98125	0.982647855404245	-0.01890294396967139
5rnza8evzb7drfy8beyioein	2	2	6	1.0	0.73175	0.7374519925992815	-0.32916156159516125
5rnza8evzb7drfy8beyioein	3	3	11	1.0	0.61825	0.6210663858292514	-0.5822923422877053
5rnza8evzb7drfy8beyioein	4	3	18	0.0	0.67375	0.33433390892168396	-1.2742887733091435
5rnza8evzb7drfy8beyioein	5	4	16	1.0	0.89625	0.8996735032322816	-0.13073088331793403
5rnza8evzb7drfy8beyioein	6	4	17	0.0	0.547	0.44840045484172536	-0.8655296887412924
5rnza8evzb7drfy8beyioein	7	5	14	0.0	0.42975	0.5745964829883954	-0.62977443899974
5rnza8evzb7drfy8beyioein	8	5	26	1.0	0.548	0.5553234163051168	-0.6635634661309315
5t74t9y7ibglnlge2f71vyk2	1	2	1	1.0	0.9555	0.9571140195127682	-0.05111021509931438
5t74t9y7ibglnlge2f71vyk2	2	2	6	1.0	0.6465	0.6571079367237328	-0.46356279902630143
5t74t9y7ibglnlge2f71vyk2	3	3	15	0.0	0.448	0.5558030824159675	-0.639914043880813
5t74t9y7ibglnlge2f71vyk2	4	3	10	0.0	0.47525	0.5305927384216209	-0.8043736028213094
5t74t9y7ibglnlge2f71vyk2	5	4	12	0.0	0.377	0.6247861377469728	-0.5003909340902539
5t74t9y7ibglnlge2f71vyk2	6	4	23	1.0	0.73325	0.7415612795230275	-0.386560258179842
5t74t9y7ibglnlge2f71vyk2	7	5	52	0.0	0.367	0.6329863164487405	-0.47831238821777794
5t74t9y7ibglnlge2f71vyk2	8	5	59	0.0	0.2425	0.7580121104398148	-0.29326087150987573
5xsiamm1cbvk38j2nigikj6i	1	2	19	1.0	0.7485	0.7538545984956115	-0.31028823007980344
5xsiamm1cbvk38j2nigikj6i	2	2	20	0.0	0.76925	0.23363660741991654	-1.8712299857751145
5xsiamm1cbvk38j2nigikj6i	3	3	11	1.0	0.61575	0.6256651738112883	-0.5746308378336787
5xsiamm1cbvk38j2nigikj6i	4	3	18	1.0	0.67775	0.6770309561616742	-0.43089946084051794
