"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[193]",0.642819203443481,0.00535652987056946,0.387242213762297,-0.158074091288734,0.398562559622067,0.649699015115602,0.899324595887916,1.40094206554525,5226.34802506144,0.999780750096533
"beta[194]",-0.501888101687919,0.00829717698723263,0.542298380644644,-1.63011744309178,-0.851184847364973,-0.479219328250313,-0.131992137036601,0.493310208773268,4271.84913704432,1.00073718231861
"beta[195]",-0.878107434548768,0.00591374894430372,0.365250119754354,-1.65085064222913,-1.09754519240086,-0.854626294616778,-0.619479547053641,-0.235451083822964,3814.65237162453,1.00115614550953
"beta[196]",0.790735827661838,0.00620991242799118,0.4532085175825,-0.0993533366516572,0.492485474193596,0.795002718169808,1.08693377894772,1.65167719259854,5326.29449365059,0.999433870720353
"beta[197]",-1.89357022986597,0.00784563665801342,0.526202638398286,-2.95035074742845,-2.24343127172971,-1.87098252160772,-1.53463241582133,-0.936630313751206,4498.31288167885,1.00000570482958
"beta[198]",1.00775869862403,0.00598003934345386,0.460278398139702,0.110011557172727,0.71241891271028,1.01683319640453,1.31586105534896,1.88323806637479,5924.24626526485,0.999263607359466
"beta[199]",0.0707964478046976,0.00640095199070153,0.477476095075669,-0.897699816534227,-0.249386991132481,0.0719875707443098,0.396779579366403,0.986303094783661,5564.34599837626,0.999577338005922
"beta[200]",-0.0439883553346178,0.00616772133445249,0.428423212969311,-0.909127523553633,-0.319628009038939,-0.0244169194007823,0.252543475640705,0.729121606524687,4824.9909240586,0.999798783153959
"beta[201]",-1.97935135780673,0.00966834883986471,0.62971464064013,-3.30239996021512,-2.38548622319585,-1.94218799579096,-1.54113561226746,-0.865758858740217,4242.12008210521,0.99921437224012
"beta[202]",0.354506285130476,0.00669855223912549,0.514999515271183,-0.62221898670855,-0.00557446937120009,0.357982381257561,0.702628517480746,1.36566562535638,5910.87456630811,0.999573021858005
"beta[203]",1.83916322022145,0.00865103540944473,0.632883802415288,0.628383258263918,1.39966344520705,1.8248671629208,2.25747213448519,3.1165341146749,5351.94673299854,0.999730263756642
"beta[204]",0.137179931562281,0.0060959570279819,0.483229590760608,-0.860268800783618,-0.174017202835452,0.14486869964758,0.458178894327302,1.04471326084279,6283.81292899393,1.00010325434959
"beta[205]",-0.147371671240672,0.00432785967708581,0.286348074854337,-0.734740382232581,-0.332788529581214,-0.133792840810652,0.0431637905824654,0.387519651865107,4377.66166215817,1.00005978512938
"beta[206]",-2.45512762983977,0.00719438483471118,0.510328845856029,-3.48113130428506,-2.78825315552289,-2.44198657856918,-2.11290772221645,-1.48562434645118,5031.6787356395,0.999876760251113
"beta[207]",1.22893607853877,0.00692074135986815,0.491965988316221,0.300869421485496,0.894897900161455,1.21468289025185,1.55314535441996,2.23274952297685,5053.18176168049,0.999648613859319
"beta[208]",0.522677718886604,0.0077051987465534,0.519048338682245,-0.50070782114448,0.173636390287439,0.526067339747569,0.879893100729417,1.52717848818043,4537.82684542672,0.999510806472636
"beta[209]",-0.837996886274607,0.00578106088181642,0.405640259967442,-1.6855471656168,-1.09749328552704,-0.820453657620831,-0.559497460533891,-0.102487047385001,4923.42150893562,1.00203091187412
"beta[210]",1.64661042228855,0.00955709691915166,0.667670369565086,0.299381198866349,1.19155637457044,1.66763849225096,2.10407819237993,2.89128655112309,4880.58887766045,0.999253525179768
"beta[211]",-1.39699503690854,0.0113743947706172,0.629585585162979,-2.76821936813639,-1.78733512938999,-1.33511520583198,-0.941267088389861,-0.346220275396549,3063.74741264477,1.00310609684251
"beta[212]",1.5165578679819,0.00737190278938513,0.551944320129826,0.41933743369191,1.14662446258467,1.52286551369177,1.86868488798225,2.61872838510394,5605.71917716287,1.00003454335487
"beta[213]",0.246823400418773,0.00554130976897946,0.370999520207075,-0.480263385450726,-0.00571676877201098,0.254117764740632,0.500476135136304,0.94031406371501,4482.51589869251,1.00091784595768
"beta[214]",-0.625094812295829,0.00764355071741657,0.492261218720735,-1.69717675392837,-0.923952760219623,-0.588605422078759,-0.283815191954935,0.223404735697371,4147.63892799894,0.999906285561921
"beta[215]",-0.464571287391291,0.00503842163929337,0.362824874437977,-1.22020631422009,-0.691543640413101,-0.440906932297301,-0.216727050578906,0.195501800617806,5185.67255602846,0.999473487381756
"beta[216]",-0.629449698703257,0.00706952797609404,0.461755525204991,-1.61611821928076,-0.927612568789035,-0.586436379161673,-0.291679113759133,0.165989948014516,4266.22117179998,0.999374980138399
"beta[217]",0.717278443221814,0.00676787835524598,0.511671255456604,-0.277190186907413,0.384043594794578,0.707881593284007,1.04246159559028,1.77075088287108,5715.7990458971,0.999403507181744
"beta[218]",0.570349548050841,0.00687702972576611,0.49971089929097,-0.402170659744121,0.243855362240002,0.5646105687359,0.898990797191372,1.54435897191087,5280.02332299816,0.999288523968324
"beta[219]",0.0753056874996742,0.00571092059983581,0.406891888086542,-0.797336599246984,-0.181902777685713,0.091625623089782,0.341261063277904,0.866063670539666,5076.28292320243,0.999535179216713
"beta[220]",0.457716557657114,0.00496188087798484,0.320141208501401,-0.196105534874506,0.252034185557212,0.463591998255173,0.668278762428924,1.0783960743058,4162.84741471705,1.00031134104136
"beta[221]",0.418110980639641,0.005717823630259,0.411433045579511,-0.425847356416897,0.154050697060503,0.430476800946611,0.691423599686531,1.20168290444824,5177.69937159784,1.00053476986646
"beta[222]",0.818975726207259,0.00736839717566622,0.515208945379366,-0.195804490061758,0.477141989738229,0.82875062151271,1.17182407504648,1.77249183579851,4889.00785451296,0.99994575362868
"beta[223]",-1.97024649867374,0.00681981961481395,0.450323414112424,-2.92902796746897,-2.25163177218363,-1.94743487157957,-1.66604262335607,-1.13059121714179,4360.1685819255,0.999370564499786
"beta[224]",-0.917570387315154,0.00536718939788604,0.404388397717493,-1.77664346828616,-1.17812539284791,-0.901762362478529,-0.631353274100443,-0.189310026528393,5676.79918674656,0.99933121748401
"beta[225]",-1.19959815762789,0.00586614807813543,0.414157930619805,-2.0659757197226,-1.46692349521186,-1.17878987389233,-0.908518776594799,-0.456666058388854,4984.54958686463,0.999990412348727
"beta[226]",-0.427643707336265,0.0061990648426252,0.392956849249075,-1.27160759726305,-0.680488685694824,-0.409623696510487,-0.15347675370302,0.284039488801398,4018.25383283217,1.00022630269253
"beta[227]",-0.0931306595124594,0.00499365952834312,0.310216163292455,-0.773329417316053,-0.290402446575577,-0.0731241072664523,0.119647295320552,0.458562120734168,3859.1440303056,1.00038058364412
"beta[228]",0.915833210446631,0.00642183969219741,0.469197354206293,-0.0354717572312349,0.607779151708734,0.930314336003173,1.22876966995573,1.79695455657636,5338.16739979809,0.999389020260487
"beta[229]",-0.91620296210621,0.00756320718425715,0.597828837041644,-2.07914969094777,-1.32773158433847,-0.902805693195491,-0.499951350606524,0.198606853799817,6248.01012907508,0.999550596083957
"beta[230]",0.182064352515679,0.0105175241311722,0.76868251431575,-1.41385393178712,-0.310989246516851,0.214772823718324,0.710822895476274,1.59953974895503,5341.54596333067,0.999729986716937
"beta[231]",0.913124079898964,0.00706645833949981,0.513089123826006,-0.108769605411112,0.575386305616213,0.925179429284813,1.25040821842354,1.88016259884045,5272.08024392297,0.999336740608886
"beta[232]",0.10024734995762,0.00642468410063566,0.5010700439662,-0.939560957058657,-0.23154127879806,0.119571167370529,0.453856755887676,1.03741818213278,6082.65692983372,0.999500612788238
"beta[233]",0.330626774759934,0.00615574156377623,0.476294435296146,-0.639882247904621,0.0160310784402725,0.346507432101719,0.663267317604041,1.23258622845783,5986.73807666455,0.999341231490284
"beta[234]",1.10465467391949,0.00750567986058617,0.564787639210381,0.000331969252222302,0.725971522970622,1.107302972402,1.4726608585865,2.22439558613231,5662.26633750258,0.999447258000752
"beta[235]",0.955852690899562,0.00887684571181116,0.632391338187686,-0.312495418936274,0.525616519219389,0.966944036262522,1.38140609486806,2.17810859473871,5075.21544125469,0.999651262864182
"beta[236]",0.00364645963704926,0.0053554295546971,0.385249922472972,-0.790508453654121,-0.250477952508857,0.024732162945741,0.27200478556457,0.703068827504689,5174.83489511653,0.999968700848898
