item_id,item,n_elements,n_rules,distractor,shape_set,beta,alpha,gamma
168,39,4,2,pd,3,0.287,1.116,0.25
169,40,2,3,md,1,1.009,1.073,0.25
170,40,2,3,md,2,1.472,1.084,0.25
171,40,2,3,md,3,1.162,1.107,0.25
172,40,2,3,pd,1,-0.874,1.21,0.25
173,40,2,3,pd,2,0.151,1.19,0.25
174,40,2,3,pd,3,0.012,1.197,0.25
175,42,2,4,md,1,0.463,1.297,0.25
176,42,2,4,md,2,1.103,1.278,0.25
177,42,2,4,md,3,1.056,1.286,0.25
178,42,2,4,pd,1,-0.291,1.401,0.25
179,42,2,4,pd,2,0.948,1.377,0.25
180,42,2,4,pd,3,0.09,1.409,0.25
181,44,3,5,md,1,2.152,1.42,0.25
182,44,3,5,md,2,3.158,1.399,0.25
183,44,3,5,md,3,3.213,1.402,0.25
184,44,3,5,pd,1,1.423,1.498,0.25
185,44,3,5,pd,2,1.386,1.557,0.25
186,44,3,5,pd,3,2.047,1.547,0.25
187,45,3,5,md,1,0.547,1.41,0.25
188,45,3,5,md,2,0.206,1.431,0.25
189,45,3,5,md,3,0.126,1.442,0.25
190,45,3,5,pd,1,-0.976,1.569,0.25
191,45,3,5,pd,2,-1.178,1.561,0.25
192,45,3,5,pd,3,-0.251,1.597,0.25
193,46,3,5,md,1,1.993,1.216,0.25
194,46,3,5,md,2,2.054,1.235,0.25
195,46,3,5,md,3,1.541,1.214,0.25
196,46,3,5,pd,1,0.56,1.338,0.25
197,46,3,5,pd,2,0.596,1.358,0.25
198,46,3,5,pd,3,0.705,1.305,0.25
199,47,4,2,md,1,2.114,1.033,0.25
200,47,4,2,md,2,0.442,1.03,0.25
201,47,4,2,md,3,2.118,1.017,0.25
202,47,4,2,pd,1,0.844,1.106,0.25
203,47,4,2,pd,2,0.644,1.138,0.25
204,47,4,2,pd,3,1.514,1.119,0.25
205,49,1,2,md,1,-3.12,1.295,0.25
206,49,1,2,md,2,-2.03,1.272,0.25
207,49,1,2,md,3,-2.277,1.245,0.25
208,49,1,2,pd,1,-3.508,1.375,0.25
209,49,1,2,pd,2,-2.962,1.329,0.25
210,49,1,2,pd,3,-2.717,1.348,0.25
211,50,1,2,md,1,-1.648,1.22,0.25
212,50,1,2,md,2,-1.061,1.233,0.25
213,50,1,2,md,3,-0.128,1.203,0.25
214,50,1,2,pd,1,-2.121,1.335,0.25
215,50,1,2,pd,2,-1.316,1.324,0.25
216,50,1,2,pd,3,-0.984,1.306,0.25
217,51,2,2,md,1,-1.801,1.235,0.25
218,51,2,2,md,2,-1.413,1.232,0.25
219,51,2,2,md,3,-1.337,1.218,0.25
220,51,2,2,pd,1,-2.034,1.347,0.25
221,51,2,2,pd,2,-1.365,1.291,0.25
222,51,2,2,pd,3,-1.298,1.32,0.25
223,52,2,5,md,1,1.851,1.297,0.25
224,52,2,5,md,2,0.45,1.272,0.25
225,52,2,5,md,3,2.674,1.275,0.25
226,52,2,5,pd,1,1.31,1.384,0.25
227,52,2,5,pd,2,-0.148,1.422,0.25
228,52,2,5,pd,3,1.158,1.388,0.25
229,53,4,4,md,1,2.033,1.139,0.25
230,53,4,4,md,2,0.923,1.159,0.25
231,53,4,4,md,3,2.398,1.12,0.25
232,53,4,4,pd,1,0.508,1.247,0.25
233,53,4,4,pd,2,-0.203,1.282,0.25
234,53,4,4,pd,3,0.218,1.239,0.25
235,54,2,5,md,1,3.095,1.313,0.25
236,54,2,5,md,2,3.062,1.362,0.25
237,54,2,5,md,3,3.386,1.339,0.25
238,54,2,5,pd,1,0.107,1.481,0.25
239,54,2,5,pd,2,1.949,1.453,0.25
240,54,2,5,pd,3,1.871,1.465,0.25
241,55,2,5,md,1,0.536,1.321,0.25
242,55,2,5,md,2,0.825,1.275,0.25
243,55,2,5,md,3,1.453,1.345,0.25
244,55,2,5,pd,1,-0.982,1.506,0.25
245,55,2,5,pd,2,-1.139,1.472,0.25
246,55,2,5,pd,3,-0.704,1.452,0.25
247,56,1,3,md,1,1.113,1.109,0.25
248,56,1,3,md,2,1.253,1.087,0.25
249,56,1,3,md,3,1.288,1.1,0.25
250,56,1,3,pd,1,-0.904,1.21,0.25
251,56,1,3,pd,2,-0.256,1.21,0.25
252,56,1,3,pd,3,0.397,1.223,0.25
253,58,1,3,md,1,-0.482,1.375,0.25
254,58,1,3,md,2,-0.293,1.362,0.25
255,58,1,3,md,3,0.291,1.385,0.25
256,58,1,3,pd,1,-2.532,1.533,0.25
257,58,1,3,pd,2,-1.743,1.486,0.25
258,58,1,3,pd,3,-1.547,1.483,0.25
259,59,2,5,md,1,2.952,1.314,0.25
260,59,2,5,md,2,2.176,1.332,0.25
261,59,2,5,md,3,3.497,1.291,0.25
262,59,2,5,pd,1,1.897,1.421,0.25
263,59,2,5,pd,2,0.64,1.446,0.25
264,59,2,5,pd,3,1.794,1.412,0.25
265,60,3,3,md,1,1.861,1.087,0.25
266,60,3,3,md,2,1.339,1.122,0.25
267,60,3,3,md,3,1.987,1.125,0.25
268,60,3,3,pd,1,-0.056,1.186,0.25
269,60,3,3,pd,2,0.598,1.18,0.25
270,60,3,3,pd,3,0.907,1.21,0.25
271,61,4,2,md,1,-0.037,0.978,0.25
272,61,4,2,md,2,-1.017,1.001,0.25
273,61,4,2,md,3,-0.723,1.002,0.25
274,61,4,2,pd,1,-0.041,1.056,0.25
275,61,4,2,pd,2,-0.872,1.112,0.25
276,61,4,2,pd,3,-1.235,1.077,0.25
277,62,3,1,md,1,-2.151,1.127,0.25
278,62,3,1,md,2,-2.435,1.117,0.25
279,62,3,1,md,3,-2.712,1.128,0.25
280,62,3,1,pd,1,-3.437,1.224,0.25
281,62,3,1,pd,2,-3.309,1.218,0.25
282,62,3,1,pd,3,-2.806,1.209,0.25
283,63,3,4,md,1,2.51,1.367,0.25
284,63,3,4,md,2,2.886,1.376,0.25
285,63,3,4,md,3,2.177,1.437,0.25
286,63,3,4,pd,1,0.766,1.507,0.25
287,63,3,4,pd,2,1.729,1.474,0.25
288,63,3,4,pd,3,0.58,1.494,0.25
289,64,3,4,md,1,0.694,1.293,0.25
290,64,3,4,md,2,1.356,1.25,0.25
291,64,3,4,md,3,1.197,1.252,0.25
292,64,3,4,pd,1,-0.552,1.427,0.25
293,64,3,4,pd,2,0.41,1.39,0.25
294,64,3,4,pd,3,0.342,1.428,0.25
295,65,2,2,md,1,-1.374,1.346,0.25
296,65,2,2,md,2,-1.588,1.319,0.25
297,65,2,2,md,3,-0.622,1.289,0.25
298,65,2,2,pd,1,-2.31,1.438,0.25
299,65,2,2,pd,2,-1.717,1.408,0.25
300,65,2,2,pd,3,-0.91,1.406,0.25
301,66,3,6,md,1,1.286,1.439,0.25
302,66,3,6,md,2,1.467,1.461,0.25
303,66,3,6,md,3,2.08,1.47,0.25
304,66,3,6,pd,1,-1.011,1.605,0.25
305,66,3,6,pd,2,0.921,1.605,0.25
306,66,3,6,pd,3,0.654,1.602,0.25
307,67,2,4,md,1,0.225,1.228,0.25
308,67,2,4,md,2,-0.425,1.222,0.25
309,67,2,4,md,3,-0.364,1.249,0.25
310,67,2,4,pd,1,-1.303,1.377,0.25
311,67,2,4,pd,2,-1.646,1.364,0.25
312,67,2,4,pd,3,-1.228,1.374,0.25
313,69,1,3,md,1,-0.955,1.321,0.25
314,69,1,3,md,2,-0.638,1.253,0.25
315,69,1,3,md,3,-0.626,1.269,0.25
316,69,1,3,pd,1,-2.236,1.466,0.25
317,69,1,3,pd,2,-2.527,1.433,0.25
318,69,1,3,pd,3,-2.066,1.433,0.25
319,70,1,2,md,1,-3.093,1.284,0.25
320,70,1,2,md,2,-2.464,1.273,0.25
321,70,1,2,md,3,-1.813,1.215,0.25
322,70,1,2,pd,1,-3.704,1.424,0.25
323,70,1,2,pd,2,-3.486,1.403,0.25
324,70,1,2,pd,3,-2.457,1.355,0.25
325,71,1,2,md,1,-1.838,1.427,0.25
326,71,1,2,md,2,-1.59,1.396,0.25
327,71,1,2,md,3,-1.65,1.404,0.25
328,71,1,2,pd,1,-1.852,1.539,0.25
329,71,1,2,pd,2,-1.865,1.52,0.25
330,71,1,2,pd,3,-1.248,1.511,0.25
331,72,2,4,md,1,1.538,1.302,0.25
332,72,2,4,md,2,1.318,1.295,0.25
333,72,2,4,md,3,1.239,1.305,0.25
334,72,2,4,pd,1,-0.134,1.447,0.25
335,72,2,4,pd,2,0.183,1.421,0.25
336,72,2,4,pd,3,0.774,1.414,0.25
337,73,2,3,md,1,0.845,1.222,0.25
338,73,2,3,md,2,1.252,1.206,0.25
339,73,2,3,md,3,0.673,1.242,0.25
340,73,2,3,pd,1,-0.848,1.355,0.25
341,73,2,3,pd,2,0.328,1.359,0.25
342,73,2,3,pd,3,-0.278,1.317,0.25
343,74,3,5,md,1,1.221,1.389,0.25
344,74,3,5,md,2,2.538,1.387,0.25
345,74,3,5,md,3,1.888,1.4,0.25
346,74,3,5,pd,1,0.465,1.526,0.25
347,74,3,5,pd,2,1.19,1.496,0.25
348,74,3,5,pd,3,0.628,1.533,0.25
349,75,4,5,md,1,2.386,1.299,0.25
350,75,4,5,md,2,1.681,1.311,0.25
351,75,4,5,md,3,1.582,1.35,0.25
352,75,4,5,pd,1,1.788,1.398,0.25
353,75,4,5,pd,2,0.615,1.399,0.25
354,75,4,5,pd,3,0.174,1.428,0.25
355,76,2,5,md,1,1.609,1.367,0.25
356,76,2,5,md,2,1.097,1.365,0.25
357,76,2,5,md,3,2.474,1.355,0.25
358,76,2,5,pd,1,0.664,1.521,0.25
359,76,2,5,pd,2,0.1,1.49,0.25
360,76,2,5,pd,3,0.776,1.491,0.25
361,77,2,2,md,1,-0.529,1.168,0.25
362,77,2,2,md,2,-1.447,1.216,0.25
363,77,2,2,md,3,-0.499,1.203,0.25
364,77,2,2,pd,1,-1.171,1.285,0.25
365,77,2,2,pd,2,-1.152,1.3,0.25
366,77,2,2,pd,3,-1.495,1.305,0.25
367,78,3,6,md,1,1.871,1.364,0.25
368,78,3,6,md,2,2.324,1.4,0.25
369,78,3,6,md,3,2.674,1.374,0.25
370,78,3,6,pd,1,1.098,1.51,0.25
371,78,3,6,pd,2,2.138,1.452,0.25
372,78,3,6,pd,3,1.096,1.573,0.25
373,79,3,4,md,1,2.145,1.215,0.25
374,79,3,4,md,2,2.635,1.164,0.25
375,79,3,4,md,3,2.367,1.209,0.25
376,79,3,4,pd,1,1.015,1.335,0.25
377,79,3,4,pd,2,0.969,1.314,0.25
378,79,3,4,pd,3,-0.026,1.354,0.25
379,80,3,3,md,1,1.457,1.21,0.25
380,80,3,3,md,2,1.962,1.185,0.25
381,80,3,3,md,3,1.763,1.224,0.25
382,80,3,3,pd,1,0.397,1.332,0.25
383,80,3,3,pd,2,0.694,1.348,0.25
384,80,3,3,pd,3,0.721,1.333,0.25
