sub,age,gender,block,testform,Puzzle,distractor,Accuracy,RT
686903,24,Female,1,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_20_T.jpeg,paired,1,20303
686903,24,Female,1,2,29_grid_double__10121011111012010000102012020000_shape_set_4_T.jpeg,minimal,0,18436
686903,24,Female,1,2,30_grid_double__10211001101112200100121012020000_shape_set_17_T.jpeg,minimal,1,12508
686903,24,Female,1,2,31_flower_double__0200010011120100020012110000000002001102_shape_set_20_T.jpeg,minimal,1,12627
686903,24,Female,1,2,32_flower_single__11110100010002000000_shape_set_4_T.jpeg,paired,1,9220
686903,24,Female,1,2,5_grid_single__0000000010200000_shape_set_4_T.jpeg,paired,1,4083
686903,24,Female,1,2,6_single__121210101222_shape_set_17_T.jpeg,minimal,0,28278
686903,24,Female,1,2,7_flower_single__01000200020012200200_shape_set_20_T.jpeg,minimal,1,5858
686903,24,Female,1,2,8_grid_single__0100000000001111_shape_set_4_T.jpeg,minimal,1,5749
686903,24,Female,1,2,9_flower_single__10020000020001000200_shape_set_17_T.jpeg,paired,1,6333
686903,24,Female,1,2,10_triple__000012221120010002000000_shape_set_20_T.jpeg,minimal,1,16524
686903,24,Female,1,2,1_single__101010001010_shape_set_20_T.jpeg,minimal,1,3306
686903,24,Female,1,2,2_double__0000020001001020_shape_set_4_T.jpeg,paired,1,6798
686903,24,Female,1,2,3_clockwork3_single__000011010200_shape_set_17_T.jpeg,minimal,1,2700
686903,24,Female,1,2,4_flower_single__02001220000001000200_shape_set_20_T.jpeg,minimal,1,5229
686903,24,Female,1,2,12_double__1212102211111221_shape_set_17_T.jpeg,paired,0,11338
686903,24,Female,1,2,11_grid_single__1220111101001121_shape_set_4_T.jpeg,paired,1,16217
686903,24,Female,1,2,13_flower_single__01001221122102001122_shape_set_20_T.jpeg,minimal,1,25290
686903,24,Female,1,2,14_triple__112110100000000010021222_shape_set_4_T.jpeg,paired,0,21005
686907,22,Male,2,1,23_grid_single__1110120212111121_shape_set_17_T.jpeg,minimal,1,17301
686907,22,Male,2,1,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,paired,0,28707
686907,22,Male,2,1,22_single__112212211220_shape_set_4_T.jpeg,minimal,1,9426
686907,22,Male,2,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,minimal,0,13749
686907,22,Male,2,1,6_single__121210101222_shape_set_20_T.jpeg,minimal,1,5756
686907,22,Male,2,1,20_double__1221010010220000_shape_set_17_T.jpeg,minimal,1,16171
686907,22,Male,2,1,21_triple__100111201112121010221202_shape_set_20_T.jpeg,paired,0,16567
686907,22,Male,2,1,19_single__101112201212_shape_set_4_T.jpeg,minimal,1,9365
686907,22,Male,2,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,minimal,1,4283
686907,22,Male,2,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,minimal,1,1821
686907,22,Male,2,1,11_grid_single__1220111101001121_shape_set_17_T.jpeg,paired,1,10053
686907,22,Male,2,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,paired,1,4700
686907,22,Male,2,1,10_triple__000012221120010002000000_shape_set_4_T.jpeg,paired,1,13293
686907,22,Male,2,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,minimal,1,2473
686907,22,Male,2,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,paired,1,3549
686907,22,Male,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,paired,1,2602
686907,22,Male,2,1,34_flower_single__11210200122211220100_shape_set_4_T.jpeg,paired,1,11337
686907,22,Male,2,1,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,paired,0,5229
686907,22,Male,2,1,12_double__1212102211111221_shape_set_20_T.jpeg,minimal,1,16919
686907,22,Male,2,1,16_grid_single__1012121112021101_shape_set_4_T.jpeg,paired,1,7033
686907,22,Male,2,1,17_double__1222110111201012_shape_set_17_T.jpeg,paired,0,16861
686907,22,Male,2,1,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,paired,1,27349
686907,22,Male,2,1,29_grid_double__10121011111012010000102012020000_shape_set_17_T.jpeg,minimal,1,18893
686907,22,Male,2,1,30_grid_double__10211001101112200100121012020000_shape_set_20_T.jpeg,paired,1,10275
686907,22,Male,2,1,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,paired,0,28540
686907,22,Male,2,1,33_single__000010221212_shape_set_20_T.jpeg,paired,0,5404
686907,22,Male,2,1,15_double__0000110211121011_shape_set_20_T.jpeg,minimal,0,25635
686907,22,Male,2,1,32_flower_single__11110100010002000000_shape_set_17_T.jpeg,minimal,1,8541
686907,22,Male,2,1,1_single__101010001010_shape_set_4_T.jpeg,paired,1,1618
686907,22,Male,2,1,14_triple__112110100000000010021222_shape_set_17_T.jpeg,minimal,1,23327
686907,22,Male,2,1,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,paired,0,11611
686907,22,Male,2,1,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,paired,0,14718
686907,22,Male,2,1,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,minimal,0,9168
686907,22,Male,2,1,27_double__1020020012121122_shape_set_20_T.jpeg,paired,1,15230
686907,22,Male,2,1,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,paired,1,19138
686907,22,Male,2,1,36_triple__111212011010112010220100_shape_set_20_T.jpeg,paired,1,18014
686995,26,Female,2,2,64_grid_triple__000001001110020000000000112002001212010001001122_shape_set_20_T.jpeg,paired,0,584
686995,26,Female,2,2,37_flower_double__0200010001000200020002001211110111120100_shape_set_20_T.jpeg,minimal,0,406
686995,26,Female,2,2,8_grid_single__0100000000001111_shape_set_4_T.jpeg,minimal,0,6885
686995,26,Female,2,2,13_flower_single__01001221122102001122_shape_set_20_T.jpeg,minimal,0,10814
686995,26,Female,2,2,63_triple__120211111021020000001010_shape_set_17_T.jpeg,paired,1,716
686995,26,Female,2,2,15_double__0000110211121011_shape_set_17_T.jpeg,minimal,0,6930
686995,26,Female,2,2,76_flower_single__12211102120110101011_shape_set_20_T.jpeg,minimal,1,644
686995,26,Female,2,2,77_grid_double__00000100000011111011010001000000_shape_set_4_T.jpeg,paired,1,667
686995,26,Female,2,2,38_clockwork3_single__010011110000_shape_set_4_T.jpeg,paired,0,499
686995,26,Female,2,2,60_triple__111212220100010000001122_shape_set_17_T.jpeg,paired,0,736
686995,26,Female,2,2,62_grid_triple__010000000000020000000100000012210000020000000100_shape_set_4_T.jpeg,minimal,1,764
686995,26,Female,2,2,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_4_T.jpeg,minimal,0,455
686995,26,Female,2,2,36_triple__111212011010112010220100_shape_set_17_T.jpeg,paired,0,556
686995,26,Female,2,2,6_single__121210101222_shape_set_17_T.jpeg,paired,1,6342
686995,26,Female,2,2,7_flower_single__01000200020012200200_shape_set_20_T.jpeg,minimal,1,4773
686995,26,Female,2,2,48_flower_double__0100121102000000020002000100010000000000_shape_set_17_T.jpeg,paired,0,845
686995,26,Female,2,2,9_flower_single__10020000020001000200_shape_set_17_T.jpeg,paired,0,3999
686995,26,Female,2,2,14_triple__112110100000000010021222_shape_set_4_T.jpeg,paired,0,5572
686995,26,Female,2,2,29_grid_double__10121011111012010000102012020000_shape_set_4_T.jpeg,minimal,0,801
686995,26,Female,2,2,61_flower_double__1211010002000100020001001121010001000200_shape_set_20_T.jpeg,paired,0,538
686995,26,Female,2,2,34_flower_single__11210200122211220100_shape_set_20_T.jpeg,paired,0,574
686995,26,Female,2,2,20_double__1221010010220000_shape_set_4_T.jpeg,paired,0,2499
686995,26,Female,2,2,22_single__112212211220_shape_set_20_T.jpeg,minimal,0,1633
686995,26,Female,2,2,10_triple__000012221120010002000000_shape_set_20_T.jpeg,paired,0,8693
686995,26,Female,2,2,12_double__1212102211111221_shape_set_17_T.jpeg,minimal,0,6744
686995,26,Female,2,2,18_flower_double__1022102200000100010000000200122101000000_shape_set_17_T.jpeg,paired,1,2312
686995,26,Female,2,2,19_single__101112201212_shape_set_20_T.jpeg,minimal,0,5924
686995,26,Female,2,2,74_triple__100101001211112010120200_shape_set_4_T.jpeg,minimal,0,861
686995,26,Female,2,2,75_flower_double__0200110201001112100101000200101012201111_shape_set_17_T.jpeg,minimal,0,858
686995,26,Female,2,2,73_grid_double__01000200111202000000122201001012_shape_set_20_T.jpeg,minimal,0,722
686995,26,Female,2,2,78_triple__111212101211100210011020_shape_set_17_T.jpeg,minimal,0,560
686995,26,Female,2,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_17_T.jpeg,minimal,0,735
686995,26,Female,2,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_20_T.jpeg,minimal,0,901
686995,26,Female,2,2,27_double__1020020012121122_shape_set_17_T.jpeg,paired,0,2832
686995,26,Female,2,2,16_grid_single__1012121112021101_shape_set_20_T.jpeg,minimal,0,4906
686995,26,Female,2,2,58_clockwork3_single__102211221112_shape_set_20_T.jpeg,paired,0,692
686995,26,Female,2,2,5_grid_single__0000000010200000_shape_set_4_T.jpeg,minimal,1,3299
686995,26,Female,2,2,2_double__0000020001001020_shape_set_4_T.jpeg,minimal,1,4874
686995,26,Female,2,2,3_clockwork3_single__000011010200_shape_set_17_T.jpeg,paired,1,2046
686995,26,Female,2,2,52_flower_single__12121202111010011122_shape_set_20_T.jpeg,paired,0,432
686995,26,Female,2,2,30_grid_double__10211001101112200100121012020000_shape_set_17_T.jpeg,minimal,0,1816
686995,26,Female,2,2,17_double__1222110111201012_shape_set_4_T.jpeg,paired,0,3868
686995,26,Female,2,2,59_flower_single__11211110102010011122_shape_set_4_T.jpeg,paired,0,559
686995,26,Female,2,2,33_single__000010221212_shape_set_17_T.jpeg,minimal,0,657
686995,26,Female,2,2,72_double__1022111010121202_shape_set_17_T.jpeg,minimal,0,612
686995,26,Female,2,2,21_triple__100111201112121010221202_shape_set_17_T.jpeg,paired,0,2294
686995,26,Female,2,2,23_grid_single__1110120212111121_shape_set_4_T.jpeg,paired,0,1278
686995,26,Female,2,2,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_17_T.jpeg,minimal,1,755
686995,26,Female,2,2,25_clockwork3_single__112110110000_shape_set_20_T.jpeg,minimal,1,4325
686995,26,Female,2,2,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_4_T.jpeg,paired,0,5653
686995,26,Female,2,2,11_grid_single__1220111101001121_shape_set_4_T.jpeg,paired,1,20365
686995,26,Female,2,2,31_flower_double__0200010011120100020012110000000002001102_shape_set_20_T.jpeg,minimal,0,1063
686995,26,Female,2,2,32_flower_single__11110100010002000000_shape_set_4_T.jpeg,minimal,0,843
686995,26,Female,2,2,56_grid_single__1001101200001122_shape_set_4_T.jpeg,minimal,0,700
686995,26,Female,2,2,57_single__020011011121_shape_set_17_T.jpeg,minimal,0,488
686995,26,Female,2,2,4_flower_single__02001220000001000200_shape_set_20_T.jpeg,minimal,1,2955
686995,26,Female,2,2,46_triple__101112200200110212211001_shape_set_20_T.jpeg,paired,0,767
686995,26,Female,2,2,47_flower_double__0100101200000200101102000000010001000100_shape_set_4_T.jpeg,minimal,0,471
686995,26,Female,2,2,54_grid_double__01001121120112110100100212100100_shape_set_17_T.jpeg,paired,0,3697
686995,26,Female,2,2,79_flower_double__0100000001001112000011011110000010220200_shape_set_20_T.jpeg,minimal,0,672
686995,26,Female,2,2,67_grid_double__12220000102110020000010012010100_shape_set_20_T.jpeg,paired,0,459
686995,26,Female,2,2,55_grid_double__12021120101202001210000012110100_shape_set_20_T.jpeg,paired,0,771
686995,26,Female,2,2,70_grid_single__0000010012111110_shape_set_20_T.jpeg,paired,0,660
686995,26,Female,2,2,71_clockwork3_single__102102001101_shape_set_4_T.jpeg,paired,1,546
686995,26,Female,2,2,1_single__101010001010_shape_set_20_T.jpeg,paired,1,4427
686995,26,Female,2,2,68_single__100100001000_shape_set_4_T.jpeg,paired,0,1095
