subject,trial,test_form,stimulus,correct,choice,accuracy,rt,all_loaded,minimum_resolution
15ebams12i453mvmckqt1eyi,8,0,a53,0,0.0,1.0,27.088,1,1
15ebams12i453mvmckqt1eyi,9,0,a55,1,6.0,0.0,15.09,1,1
19znotmovxga3imxfnglha5a,1,0,a11,4,4.0,1.0,9.402,1,1
19znotmovxga3imxfnglha5a,2,0,a24,4,4.0,1.0,22.793,1,1
19znotmovxga3imxfnglha5a,3,0,a28,7,7.0,1.0,28.049,1,1
19znotmovxga3imxfnglha5a,4,0,a36,1,2.0,0.0,16.643,1,1
19znotmovxga3imxfnglha5a,5,0,a43,4,4.0,1.0,26.823,1,1
19znotmovxga3imxfnglha5a,6,0,a48,5,6.0,0.0,28.593,1,1
19znotmovxga3imxfnglha5a,7,0,a49,6,6.0,1.0,10.265,1,1
19znotmovxga3imxfnglha5a,8,0,a53,0,0.0,1.0,23.324,1,1
19znotmovxga3imxfnglha5a,9,0,a55,1,6.0,0.0,11.896,1,1
1e9u3v9la9rwdphm565thm0a,1,0,a11,4,4.0,1.0,5.764,1,1
1e9u3v9la9rwdphm565thm0a,2,0,a24,4,4.0,1.0,9.0,1,1
1e9u3v9la9rwdphm565thm0a,3,0,a28,7,7.0,1.0,6.551,1,1
1e9u3v9la9rwdphm565thm0a,4,0,a36,1,3.0,0.0,9.547,1,1
1e9u3v9la9rwdphm565thm0a,5,0,a43,4,4.0,1.0,10.422,1,1
1e9u3v9la9rwdphm565thm0a,6,0,a48,5,7.0,0.0,12.201,1,1
1e9u3v9la9rwdphm565thm0a,7,0,a49,6,6.0,1.0,4.065,1,1
1e9u3v9la9rwdphm565thm0a,8,0,a53,0,1.0,0.0,12.506,1,1
1e9u3v9la9rwdphm565thm0a,9,0,a55,1,5.0,0.0,10.13,1,1
1fihrb5xisi1xwdd759hy0ag,1,0,a11,4,4.0,1.0,20.507,1,1
1fihrb5xisi1xwdd759hy0ag,2,0,a24,4,4.0,1.0,15.844,1,1
1fihrb5xisi1xwdd759hy0ag,3,0,a28,7,7.0,1.0,14.086,1,1
1fihrb5xisi1xwdd759hy0ag,4,0,a36,1,1.0,1.0,19.754,1,1
1fihrb5xisi1xwdd759hy0ag,5,0,a43,4,3.0,0.0,10.528,1,1
1fihrb5xisi1xwdd759hy0ag,6,0,a48,5,7.0,0.0,13.138,1,1
1fihrb5xisi1xwdd759hy0ag,7,0,a49,6,6.0,1.0,7.441,1,1
1fihrb5xisi1xwdd759hy0ag,8,0,a53,0,0.0,1.0,7.208,1,1
1fihrb5xisi1xwdd759hy0ag,9,0,a55,1,5.0,0.0,15.676,1,1
1h6c4xc876vyp61ouzu9r3tr,1,0,a11,4,4.0,1.0,7.244,1,1
1h6c4xc876vyp61ouzu9r3tr,2,0,a24,4,0.0,0.0,18.183,1,1
1h6c4xc876vyp61ouzu9r3tr,3,0,a28,7,7.0,1.0,11.543,1,1
1h6c4xc876vyp61ouzu9r3tr,4,0,a36,1,3.0,0.0,15.151,1,1
1h6c4xc876vyp61ouzu9r3tr,5,0,a43,4,4.0,1.0,12.58,1,1
1h6c4xc876vyp61ouzu9r3tr,6,0,a48,5,1.0,0.0,13.451,1,1
1h6c4xc876vyp61ouzu9r3tr,7,0,a49,6,6.0,1.0,5.336,1,1
1h6c4xc876vyp61ouzu9r3tr,8,0,a53,0,6.0,0.0,7.686,1,1
1h6c4xc876vyp61ouzu9r3tr,9,0,a55,1,6.0,0.0,14.702,1,1
1jfn0a7a6apgjpcyhffxi8ly,1,0,a11,4,4.0,1.0,24.223,1,1
1jfn0a7a6apgjpcyhffxi8ly,2,0,a24,4,5.0,0.0,5.74,1,1
1jfn0a7a6apgjpcyhffxi8ly,3,0,a28,7,3.0,0.0,8.034,1,1
1jfn0a7a6apgjpcyhffxi8ly,4,0,a36,1,2.0,0.0,25.401,1,1
1jfn0a7a6apgjpcyhffxi8ly,5,0,a43,4,4.0,1.0,15.68,1,1
1jfn0a7a6apgjpcyhffxi8ly,6,0,a48,5,6.0,0.0,17.957,1,1
1jfn0a7a6apgjpcyhffxi8ly,7,0,a49,6,3.0,0.0,18.599,1,1
1jfn0a7a6apgjpcyhffxi8ly,8,0,a53,0,5.0,0.0,20.454,1,1
1jfn0a7a6apgjpcyhffxi8ly,9,0,a55,1,0.0,0.0,22.281,1,1
1jkg3rwcf7jcysg0v2f7z9tv,1,0,a11,4,4.0,1.0,5.528,1,1
1jkg3rwcf7jcysg0v2f7z9tv,2,0,a24,4,5.0,0.0,9.465,1,1
1jkg3rwcf7jcysg0v2f7z9tv,3,0,a28,7,7.0,1.0,6.399,1,1
1jkg3rwcf7jcysg0v2f7z9tv,4,0,a36,1,1.0,1.0,25.899,1,1
1jkg3rwcf7jcysg0v2f7z9tv,5,0,a43,4,4.0,1.0,10.497,1,1
1jkg3rwcf7jcysg0v2f7z9tv,6,0,a48,5,7.0,0.0,13.251,1,1
