	mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
xi_pr[2,24]	-0.234147464125213	0.0112880669689257	0.836304950993078	-1.9323943142304	-0.769440071605336	-0.211724540176313	0.301901022187906	1.38213822782308	5488.96145554641	0.999501093536678
xi_pr[2,25]	0.0406562078824166	0.0112021072137815	0.854482442195208	-1.66621706839317	-0.501759157957364	0.0431624223163434	0.610401711996429	1.66478484355931	5818.4437053354	0.999332988567491
xi_pr[2,26]	-0.0801568210534838	0.0118104910478668	0.870744649110599	-1.83693815714224	-0.670523851944566	-0.0658903909206164	0.498968177404057	1.59592252273407	5435.57783605521	1.00071475461678
xi_pr[2,27]	0.322057593596967	0.0116846849036085	0.867153589840097	-1.40175144587569	-0.248947759610288	0.332045101774438	0.904705101434435	2.02610213355065	5507.54484141208	0.999728990600234
xi_pr[2,28]	-0.447053755312222	0.0115636298647774	0.833458057085601	-2.11979973302699	-0.98779143094617	-0.447112331360118	0.114484026310574	1.15224005868906	5194.92323535902	0.999907512496844
xi_pr[2,29]	0.457284139754825	0.0116070556324346	0.873652378799155	-1.30419479955649	-0.11249548615594	0.461067598247855	1.03515939594796	2.15268395924961	5665.43414254141	1.00007289443123
xi_pr[2,30]	0.638399847712277	0.0129695532394757	0.885388107594852	-1.11315128670363	0.0567095065469762	0.648786248388538	1.23730514884321	2.30627875849611	4660.33714382844	0.999801211512168
xi_pr[2,31]	0.26826031352448	0.0110434248175327	0.835488698226585	-1.41326890753313	-0.281148459935101	0.270474356442308	0.828027407016038	1.90221571176665	5723.65701591694	0.999627416840998
xi_pr[2,32]	0.372866922317088	0.0119373812063837	0.873260475114781	-1.37463867151202	-0.204295260736811	0.376577456320088	0.977171524738277	2.05932641791263	5351.42548081707	0.999136202438634
xi_pr[2,33]	0.149300926320279	0.0108013195002083	0.864618373359218	-1.60087796466508	-0.407808950736788	0.167552273089282	0.720920130375286	1.77507023301827	6407.59856067612	0.999174133469582
xi_pr[2,34]	-0.430240973258604	0.0113324267144	0.861348937790177	-2.17210338664642	-0.999415575588386	-0.435081177379428	0.148142451034369	1.2908179152241	5777.13354093228	0.999753019132888
xi_pr[2,35]	-0.24387737016498	0.0107886101605824	0.875509016449515	-2.00614048774775	-0.817052730843456	-0.221068968504501	0.350976048495477	1.43796846695019	6585.52261082995	0.999579672690974
xi_pr[2,36]	0.617374285497469	0.0131297325765211	0.984529150420927	-1.28190108532649	-0.0540081929750223	0.630320424303977	1.27754091725776	2.51401249714079	5622.70628595622	1.0000331012255
xi_pr[2,37]	-0.276872007956028	0.0105634819654087	0.895099617213745	-1.99972568311793	-0.881694880942737	-0.279805420479981	0.318538382604014	1.50242826383266	7180.0679189268	0.999590538878252
xi_pr[2,38]	0.182500306014977	0.0109933882107004	0.94501894971691	-1.69394176415977	-0.429070672157541	0.174531649625983	0.80870802197358	2.03764627870666	7389.54852328231	0.999694858905684
xi_pr[2,39]	-0.0318054417870634	0.0109445047678901	0.958650238521282	-1.96234388302622	-0.685742884558839	-0.0172669731620251	0.628813788646851	1.82137722873757	7672.34528887246	0.999464005154591
xi_pr[2,40]	-0.524245502593542	0.0116418388052624	0.908903259032945	-2.29897472763019	-1.14397723591902	-0.519605916273858	0.0812971437165083	1.24372818699358	6095.25890966814	0.99940585074908
xi_pr[2,41]	0.398006735086282	0.0114412429685963	0.945523835547388	-1.45395779232786	-0.248901978376695	0.392336479213747	1.03803417830834	2.21102022980308	6829.65153970556	1.00007312793446
xi_pr[2,42]	-0.487186925315199	0.0110323272935868	0.927737691614168	-2.34623158636314	-1.07341038964301	-0.487477262657111	0.143580623363668	1.324980697255	7071.57460463517	0.999108605347972
xi_pr[2,43]	-0.134719752017402	0.010667442879901	0.953719423293854	-2.01837482949522	-0.75295476414918	-0.132091738687395	0.485744109383572	1.73888444532287	7993.19858601059	0.999358754348412
xi_pr[2,44]	-0.292555334318999	0.0112253402059825	0.939152998481908	-2.16175044598127	-0.91263943082435	-0.287254584007	0.339831634334524	1.48828018152099	6999.60729065149	0.999398846558376
xi_pr[2,45]	-0.0863737637990714	0.011334282570966	0.964321365631586	-2.01741563181448	-0.724794174388322	-0.0824551554368697	0.567324594474246	1.8177732085662	7238.61547518379	0.999967845288846
xi_pr[2,46]	-0.281837831633358	0.0105479369582184	0.945984815455867	-2.14492424378064	-0.916009489540462	-0.28343055168495	0.350827521684452	1.56836731604455	8043.28170843504	0.999404838272369
xi_pr[2,47]	-0.342623476164019	0.0117518979669939	0.955054404358375	-2.17442622127459	-0.97749840206236	-0.344371797448392	0.30044928375365	1.51096854836812	6604.50387273571	0.999141846365677
xi_pr[2,48]	-0.0279898792486459	0.0122044295892581	1.01767582787455	-2.02808808461896	-0.712500694742332	-0.0255177965982983	0.654692600254433	1.97087990206421	6953.18758360053	0.999749821371541
xi_pr[2,49]	-0.0926501225927906	0.0114006811555228	0.974636220171351	-1.96784237605538	-0.75712355839957	-0.103367944120769	0.551414347675074	1.82434166471462	7308.41994451468	0.999301452794962
