	mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
theta[320]	1.7659161271013	0.0076793845913748	0.603392582605801	0.649229557597246	1.35579851498647	1.73423084760447	2.15819578075655	3.02110146834528	6173.72240882303	0.999569188841109
theta[321]	0.65313872313278	0.0073376036608028	0.563592431080425	-0.378184599386268	0.260100926604622	0.632802396636443	1.01827160614905	1.80904931486955	5899.5896433265	1.00049566463842
theta[322]	-0.27185420164047	0.0046900966973565	0.404711020138439	-1.06560810708328	-0.538522613775515	-0.276301881761284	-0.0116258769127167	0.550469335758098	7446.05889310242	0.999493850754605
theta[323]	-0.728560985450149	0.0043384393087902	0.342764787573881	-1.39186694465345	-0.953482131658679	-0.735507392759773	-0.501374290993417	-0.0468739079884306	6242.02275629785	0.999455385617104
theta[324]	0.810924084208478	0.0082069014739553	0.579367451693874	-0.273431264539793	0.41442304057896	0.79358192832681	1.17573734270203	1.96975627774632	4983.67539456744	1.00062257464882
theta[325]	0.0674183400465177	0.0073941238523391	0.637829681028477	-1.1249581885343	-0.38278511961503	0.046798633447355	0.495207524185463	1.36016016751886	7441.08059558735	0.999409251664286
theta[326]	0.688443854794778	0.007024872552802	0.557960877377765	-0.349234104689555	0.308088693463942	0.672912406350819	1.04473157207763	1.85454547222961	6308.56522906469	0.999634717772413
theta[327]	-0.239712972242261	0.004335720077938	0.356955872923587	-0.913652113345369	-0.48848849952381	-0.242669749233988	-0.0057138266226506	0.482403263373796	6778.07846824891	0.999289685431946
theta[328]	-0.836489288913975	0.0044822866590947	0.338759161774422	-1.51693495563815	-1.06217288329439	-0.833293673097145	-0.615345534188531	-0.168189959634891	5711.92956531726	0.99934368342783
theta[329]	1.67685880794691	0.0071567225622577	0.550018934659162	0.68295916775748	1.28919344838847	1.65980334595327	2.03569653348482	2.8011757007571	5906.45524800971	0.999846516911661
theta[330]	1.67472690272608	0.0065319531296041	0.546382867227024	0.662235788735128	1.29257443487359	1.65840117399633	2.02238542876948	2.8066619678632	6996.93800797808	0.999377251936345
theta[331]	-1.07565749897087	0.0046871690933684	0.355936157683087	-1.75855428151586	-1.31372874278392	-1.07587311708094	-0.84324103486493	-0.372781644941248	5766.6417676417	0.99994877066484
theta[332]	-0.702749996770342	0.004089892018956	0.282892647431903	-1.25556032796319	-0.892950291486194	-0.704595958124859	-0.514544443665186	-0.132296560364273	4784.31356982367	1.00013106692845
