subject	trial	dimension	item	accuracy	rt	w_hat	Y_hat	Y_pred	WAIC
1zskm2bzi8y5p5g4j8qhpdz6	2	2	20	1.0	12.67	0.056986446548518324	0.7805	0.7806433698538277	-0.2708157089091001
1zskm2bzi8y5p5g4j8qhpdz6	3	3	15	0.0	10.463	0.051238477738414216	0.56175	0.4441258902580812	-0.9568849762265879
1zskm2bzi8y5p5g4j8qhpdz6	4	3	10	1.0	6.365	0.07302591238343682	0.61525	0.6228609442290055	-0.537160517061288
1zskm2bzi8y5p5g4j8qhpdz6	5	4	16	1.0	14.126	0.0644662336673704	0.88775	0.8852907081907746	-0.12597430317130873
1zskm2bzi8y5p5g4j8qhpdz6	6	4	17	0.0	18.27	0.10383201487431326	0.57575	0.43276549480144993	-0.9477851476969847
1zskm2bzi8y5p5g4j8qhpdz6	7	5	14	1.0	15.79	0.07674996610485905	0.444	0.4304942046996059	-1.0307325084900034
1zskm2bzi8y5p5g4j8qhpdz6	8	5	26	0.0	16.391	0.08227160427707704	0.52075	0.4803717248085445	-0.8994613344826591
269f5wxawxko5vbndnerjhvt	1	2	19	1.0	4.985	0.11889331773702852	0.83625	0.8338506516651765	-0.1877342269686197
269f5wxawxko5vbndnerjhvt	2	2	20	1.0	6.574	0.06948638320890754	0.86225	0.8625143248848859	-0.15477548485670925
269f5wxawxko5vbndnerjhvt	3	3	11	1.0	7.305	0.06059295975018753	0.783	0.7829002621241454	-0.27038886696409764
269f5wxawxko5vbndnerjhvt	4	3	18	0.0	9.531	0.05114607666145545	0.85475	0.15293317521869088	-2.1272666281996826
269f5wxawxko5vbndnerjhvt	5	4	16	1.0	7.779	0.056891450809186735	0.9215	0.9263757169796315	-0.07787561327905299
269f5wxawxko5vbndnerjhvt	6	4	17	1.0	8.687	0.052704356513034185	0.747	0.7434589541972265	-0.32633971223872343
269f5wxawxko5vbndnerjhvt	7	5	52	1.0	11.489	0.05303923265885981	0.57725	0.5798006536198056	-0.6409197256115553
269f5wxawxko5vbndnerjhvt	8	5	59	1.0	20.262	0.13505184004842313	0.416	0.4266700590186227	-1.0255235097341007
2h7dpwlrhggmhm1t3amwo0oj	2	2	6	1.0	8.251	0.05431981822362794	0.8375	0.8428105032378028	-0.18095035180764876
2h7dpwlrhggmhm1t3amwo0oj	3	3	11	1.0	14.433	0.06642035842509608	0.76075	0.763364941151346	-0.29849369593595465
2h7dpwlrhggmhm1t3amwo0oj	4	3	18	1.0	9.992	0.050986311798314074	0.83375	0.8391317677952134	-0.18601209701079116
2h7dpwlrhggmhm1t3amwo0oj	5	4	16	1.0	11.407	0.05283724336789051	0.9215	0.9262698739458386	-0.07812369825523689
2h7dpwlrhggmhm1t3amwo0oj	6	4	17	1.0	18.512	0.10713153478403353	0.7075	0.6975735910678398	-0.39201712962166124
2h7dpwlrhggmhm1t3amwo0oj	7	5	52	1.0	13.048	0.05865031815372321	0.56125	0.551221145590888	-0.6965865230374495
2h7dpwlrhggmhm1t3amwo0oj	8	5	59	0.0	23.185	0.19982161574198765	0.3835	0.618371817058279	-0.5490229041238327
2vx94rtcv5761j9exne2q7tc	1	2	19	0.0	8.588	0.053015653046829814	0.71375	0.284102138463772	-1.4923338273484628
2vx94rtcv5761j9exne2q7tc	2	2	20	0.0	18.447	0.10623269889271288	0.6455	0.3393256540928937	-1.2514738950656028
2vx94rtcv5761j9exne2q7tc	3	3	11	0.0	18.133	0.1020203504946602	0.50575	0.5091525397963207	-0.806622404678943
2vx94rtcv5761j9exne2q7tc	4	3	18	1.0	17.643	0.0958633329643259	0.6315	0.6366581061818395	-0.5167163180387382
2vx94rtcv5761j9exne2q7tc	5	4	12	1.0	17.35	0.09241472836531031	0.336	0.3289239608613063	-1.3450173296379315
2vx94rtcv5761j9exne2q7tc	6	4	23	1.0	9.405	0.05126742687330441	0.785	0.7880193153568944	-0.26833048934401554
2vx94rtcv5761j9exne2q7tc	7	5	52	0.0	28.809	0.38495954240282765	0.26325	0.727168859911518	-0.3364834039418508
2vx94rtcv5761j9exne2q7tc	8	5	59	0.0	28.986	0.391494996971004	0.19375	0.7968906339834646	-0.23645342555908502
35aldkywb2cdl1crrf5iyowk	2	2	6	1.0	5.535	0.09426655050465471	0.5965	0.5872800943841813	-0.6099198851823011
35aldkywb2cdl1crrf5iyowk	3	3	11	0.0	11.029	0.05203302580391962	0.42325	0.576346636103798	-0.6537831528646649
35aldkywb2cdl1crrf5iyowk	4	3	18	0.0	9.014	0.0518817728184703	0.58175	0.4137184498272934	-1.03544675165111
35aldkywb2cdl1crrf5iyowk	5	4	12	0.0	5.752	0.08730709348228023	0.249	0.7380841192547796	-0.33573467486476327
35aldkywb2cdl1crrf5iyowk	6	4	23	1.0	5.465	0.09679087773240387	0.7125	0.7126567157510704	-0.3834935446209061
35aldkywb2cdl1crrf5iyowk	7	5	14	0.0	10.924	0.05184756511873131	0.25325	0.7533018047855914	-0.321081034903239
35aldkywb2cdl1crrf5iyowk	8	5	26	0.0	8.236	0.05438733549263115	0.3185	0.6829763301328494	-0.4464639820831635
3d10c17cmj2694l83ha5s0bz	1	2	19	1.0	8.697	0.05267459917794072	0.84325	0.8421299407750445	-0.1819201728761747
3d10c17cmj2694l83ha5s0bz	2	2	20	1.0	15.508	0.07436662376310321	0.8215	0.8172459829523259	-0.21543799305418826
3d10c17cmj2694l83ha5s0bz	3	3	11	0.0	16.538	0.08371718673381896	0.69525	0.308317981146283	-1.3976177362628688
3d10c17cmj2694l83ha5s0bz	4	3	18	1.0	16.49	0.08324094841597986	0.772	0.7809183281266705	-0.2641929445645892
3d10c17cmj2694l83ha5s0bz	5	4	12	1.0	24.631	0.240862483335893	0.467	0.4683914018236844	-0.8488499782588473
3d10c17cmj2694l83ha5s0bz	6	4	23	1.0	11.315	0.05262217100503643	0.87975	0.8823468247156552	-0.13107802368139276
3d10c17cmj2694l83ha5s0bz	7	5	14	0.0	24.392	0.23368127122818644	0.47275	0.5292525601794756	-0.723934398760504
3d10c17cmj2694l83ha5s0bz	8	5	26	1.0	13.265	0.05969279987223706	0.61825	0.6236349718458437	-0.5711625519596193
3ec999ycpel7dfncdwejf065	1	2	19	1.0	8.711	0.052633449019895875	0.75725	0.7612273477329218	-0.3005586418503785
3ec999ycpel7dfncdwejf065	2	2	20	1.0	3.572	0.293751931105786	0.61875	0.6139505613706077	-0.5260288133379084
3ec999ycpel7dfncdwejf065	3	3	15	0.0	4.747	0.1339737326834838	0.47325	0.5266879899814073	-0.7279304742732614
3ec999ycpel7dfncdwejf065	4	3	10	0.0	13.686	0.061898501900997986	0.5645	0.4335239931098675	-0.9735823029156316
3ec999ycpel7dfncdwejf065	5	4	12	0.0	9.131	0.051658299146280055	0.37425	0.624783540095041	-0.5411823832524796
3ec999ycpel7dfncdwejf065	6	4	23	1.0	9.499	0.051173562794277046	0.82	0.8232865507616691	-0.21101134927072873
3ec999ycpel7dfncdwejf065	7	5	14	0.0	14.506	0.06690505948838527	0.364	0.634330521975761	-0.5337583903030082
3ec999ycpel7dfncdwejf065	8	5	26	1.0	11.997	0.05450219543743204	0.4585	0.4647398449137859	-0.9625564632066657
3pb65a6ips5u5tm3kthitq9r	2	2	6	1.0	14.601	0.06754750546089343	0.815	0.8187241135259649	-0.21295015240718243
3pb65a6ips5u5tm3kthitq9r	3	3	15	1.0	23.307	0.20305636714473468	0.601	0.6079119182523793	-0.5467239624044274
3pb65a6ips5u5tm3kthitq9r	4	3	10	1.0	18.649	0.10905671813858703	0.70875	0.708564217539863	-0.3775233193285439
3pb65a6ips5u5tm3kthitq9r	5	4	12	1.0	16.941	0.08787996251885667	0.549	0.5524084172815247	-0.6880149786775962
3pb65a6ips5u5tm3kthitq9r	6	4	23	1.0	12.093	0.054818883246340835	0.889	0.893874994681459	-0.11671446837844242
3pb65a6ips5u5tm3kthitq9r	7	5	52	0.0	30.0	0.4289009020905968	0.4005	0.595691502782545	-0.5536828390094062
3pb65a6ips5u5tm3kthitq9r	8	5	59	0.0	17.975	0.09998052100510516	0.372	0.6351783985057813	-0.5392987944950569
47ykiekww9y3m9xiv79o4xp8	2	2	6	1.0	17.157	0.0902350425935319	0.796	0.7924997895518013	-0.24755756709245377
47ykiekww9y3m9xiv79o4xp8	3	3	15	0.0	27.854	0.34992236827790324	0.53375	0.47547086839216524	-0.8140066797534661
47ykiekww9y3m9xiv79o4xp8	4	3	10	1.0	19.27	0.1183206130531474	0.686	0.6846876934249615	-0.41809168218784165
47ykiekww9y3m9xiv79o4xp8	5	4	16	1.0	7.293	0.06070433277243468	0.90775	0.910873808780874	-0.09573106634717288
47ykiekww9y3m9xiv79o4xp8	6	4	17	0.0	12.532	0.05642703758008965	0.67775	0.3269959344815538	-1.310816165180086
47ykiekww9y3m9xiv79o4xp8	7	5	14	1.0	16.967	0.08815879348182233	0.52425	0.5349882637031069	-0.7468755817874819
47ykiekww9y3m9xiv79o4xp8	8	5	26	1.0	11.082	0.05213299865069811	0.64775	0.645185021536423	-0.5267982340531241
4fqdfdjmop2egr2j5gwum6dv	2	2	6	1.0	7.475	0.05911504303475131	0.8105	0.808046896350382	-0.23099396241453946
4fqdfdjmop2egr2j5gwum6dv	3	3	11	1.0	24.555	0.2385624790836644	0.622	0.6280650782695395	-0.5114018120785366
4fqdfdjmop2egr2j5gwum6dv	4	3	18	0.0	20.07	0.13161990816608438	0.7575	0.24403765074690983	-1.55753446706571
4fqdfdjmop2egr2j5gwum6dv	5	4	16	1.0	9.47	0.05120041740815669	0.91275	0.9159970166499013	-0.0900963499690255
4fqdfdjmop2egr2j5gwum6dv	6	4	17	1.0	22.676	0.1867901553040421	0.61	0.6148371819824743	-0.5323840295774067
4fqdfdjmop2egr2j5gwum6dv	7	5	52	1.0	17.473	0.09384170553352923	0.48125	0.4814713469150102	-0.8662831055645753
4fqdfdjmop2egr2j5gwum6dv	8	5	59	0.0	18.434	0.10605404871305894	0.34425	0.6565839321311833	-0.5005077928448203
4usywut659xwn8vd8ebcvt9p	1	2	19	0.0	8.942	0.05203718315678662	0.81725	0.1860411414210098	-1.8935804323596719
4usywut659xwn8vd8ebcvt9p	2	2	20	1.0	10.48	0.05125479896411777	0.8025	0.8017865184062253	-0.23837592062077742
4usywut659xwn8vd8ebcvt9p	3	3	15	1.0	10.532	0.05130771797555822	0.595	0.5872805601840612	-0.6069263402810225
4usywut659xwn8vd8ebcvt9p	4	3	10	1.0	12.025	0.05459325682907704	0.65425	0.6562533123774742	-0.4710797831267061
4usywut659xwn8vd8ebcvt9p	5	4	12	0.0	14.629	0.06773938962524521	0.45875	0.5432425351397373	-0.6994589463288661
4usywut659xwn8vd8ebcvt9p	6	4	23	1.0	9.842	0.050991537244895774	0.8655	0.8651604044783954	-0.15189528362108923
4usywut659xwn8vd8ebcvt9p	7	5	14	0.0	14.427	0.06638086500293498	0.4565	0.5447169997696574	-0.7174938505272537
4usywut659xwn8vd8ebcvt9p	8	5	26	1.0	15.687	0.07586446378861142	0.5635	0.5567507481674395	-0.6888659109852225
4zcrmlklswop6kcqvyc11gdc	1	2	19	1.0	5.943	0.08211099237313117	0.7595	0.7517483857412026	-0.309521652493171
4zcrmlklswop6kcqvyc11gdc	2	2	20	0.0	5.655	0.0902660758248246	0.73025	0.2766917794815944	-1.4851251640942564
4zcrmlklswop6kcqvyc11gdc	3	3	15	1.0	5.655	0.0902660758248246	0.512	0.5014316920399479	-0.8118153329405815
4zcrmlklswop6kcqvyc11gdc	4	3	10	1.0	8.647	0.05282645236420126	0.5935	0.5862294615708212	-0.6196497475753163
4zcrmlklswop6kcqvyc11gdc	5	4	16	1.0	4.544	0.14984432359226868	0.80475	0.8115739651370553	-0.21832219339091055
4zcrmlklswop6kcqvyc11gdc	6	4	17	0.0	5.784	0.08638061779750704	0.53575	0.46886272435998105	-0.8685389102205718
4zcrmlklswop6kcqvyc11gdc	7	5	52	0.0	6.536	0.07009010594432342	0.35375	0.6585231701574048	-0.478634521535856
4zcrmlklswop6kcqvyc11gdc	8	5	59	0.0	6.654	0.06826888657277555	0.216	0.7811866896561794	-0.27790859078475527
58unjwdq1szxwtav4c281qfc	1	2	19	1.0	12.214	0.05523599665704435	0.75075	0.7647429148704907	-0.2940383600012601
58unjwdq1szxwtav4c281qfc	2	2	20	0.0	12.279	0.05546830018056294	0.74925	0.2600596252423501	-1.5769855863137523
58unjwdq1szxwtav4c281qfc	3	3	15	0.0	20.558	0.14053135613187237	0.472	0.5233341104039754	-0.7305314864064677
58unjwdq1szxwtav4c281qfc	4	3	10	1.0	12.207	0.05521132212339785	0.5795	0.5777103999293918	-0.6359186489224562
58unjwdq1szxwtav4c281qfc	5	4	12	0.0	15.615	0.07525575392358469	0.369	0.6218578692534804	-0.5437708379949766
58unjwdq1szxwtav4c281qfc	6	4	23	1.0	10.591	0.051373179008160144	0.82125	0.825894452468373	-0.2076845231847704
58unjwdq1szxwtav4c281qfc	7	5	14	0.0	12.76	0.057365119183592696	0.37475	0.6259588012764936	-0.5608183785971452
58unjwdq1szxwtav4c281qfc	8	5	26	1.0	8.768	0.05247197781993736	0.47775	0.47210384849547116	-0.9373210442132713
5ad0fxo4nksxnoxek6jnwpqh	1	2	19	1.0	8.175	0.05467082672021232	0.78325	0.7868855324963528	-0.2598101284010774
5ad0fxo4nksxnoxek6jnwpqh	2	2	20	0.0	9.255	0.05145911928062644	0.77225	0.23231239272390536	-1.7250443188821831
5ad0fxo4nksxnoxek6jnwpqh	3	3	11	0.0	14.416	0.0663085961942993	0.59	0.39392303841163573	-1.1283868430295463
5ad0fxo4nksxnoxek6jnwpqh	4	3	18	1.0	17.14	0.09004648363773515	0.70925	0.7146240481181618	-0.36854466821459786
5ad0fxo4nksxnoxek6jnwpqh	5	4	16	1.0	18.014	0.10047913605765842	0.85675	0.8549294113910173	-0.16298477588852597
5ad0fxo4nksxnoxek6jnwpqh	6	4	17	0.0	13.455	0.06065816653632246	0.56625	0.4303607698884679	-0.9883340771732545
5ad0fxo4nksxnoxek6jnwpqh	7	5	14	1.0	24.228	0.2288422642964313	0.38225	0.3882339824275772	-1.0976398194452435
5ad0fxo4nksxnoxek6jnwpqh	8	5	26	1.0	16.268	0.08109123120623053	0.504	0.5083781234389986	-0.8288936235569785
5b8sbhwigddofjapft20c4tv	2	2	6	1.0	13.446	0.06061132583251158	0.82925	0.8313087647096568	-0.19503812471046642
