"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[88]",0.097643760261571,0.0073486534230849,0.435107953853748,-0.809588121471431,-0.16891315905043,0.11147727721989,0.392998706362979,0.914224545487082,3505.73038943909,1.00082591655216
"beta[89]",-0.836364467149445,0.0113857934436612,0.592954322485653,-1.93212229779724,-1.25902418118747,-0.843134752550467,-0.413440874121687,0.286326298315878,2712.16356317585,1.00085498715414
"beta[90]",1.4259125532975,0.00846649745195938,0.449119803275146,0.590068903251706,1.1238604750664,1.40150493365388,1.70842018215157,2.34640655249725,2813.95304365654,1.00077590958855
"beta[91]",1.40326107282605,0.00899162741440355,0.489254722994684,0.405399695537905,1.10074342238214,1.40240795969978,1.71919752504613,2.37883709554914,2960.69348519462,0.999324885432353
"beta[92]",0.130165440878425,0.00781134021763703,0.465354185506441,-0.833611380447189,-0.171345552613967,0.149845280024351,0.455034502985229,0.965337508130799,3549.08288209407,1.00111235556001
"beta[93]",-1.41928178657651,0.0097805402675049,0.506259854366653,-2.44073608299444,-1.7416417106134,-1.41730688105765,-1.08271392274535,-0.427924022316171,2679.29965903676,1.00136026001851
"beta[94]",1.05967125493501,0.00818487739628207,0.402606778771773,0.235881010881092,0.795733610700681,1.06225508628337,1.31963517689421,1.86992993884216,2419.56787177774,1.00124123508532
"beta[95]",-0.896601039005948,0.00809689499708507,0.470496460119693,-1.8857296224095,-1.1923637278581,-0.864365829360631,-0.570759079556575,-0.0470223176763061,3376.56959942657,1.00001282664187
"beta[96]",0.0441272340641812,0.00822745694267762,0.480986187769515,-0.983390604402506,-0.259203848457559,0.0665596030184466,0.366567217597864,0.925851119365433,3417.70027997351,0.999600054759662
"beta[97]",0.668781650225786,0.00818376963433156,0.400834029720484,-0.159122289021992,0.411890575721235,0.678696070058137,0.930221862910335,1.45487970223713,2398.95652707566,0.999944991989527
"beta[98]",0.359281210525738,0.0072367190824687,0.388597598560296,-0.430800618115858,0.111572376687152,0.369627883848301,0.614630209964033,1.08505851494042,2883.47902199626,0.999677877375289
"beta[99]",0.698596606573602,0.0113302639503549,0.623737998918038,-0.591587483842932,0.28736130449097,0.737051069433013,1.13620189397486,1.82281006860596,3030.57021516926,1.00043689722233
"beta[100]",-0.60804211708276,0.0105326079560279,0.632080852452055,-1.91202352001205,-1.02558156288939,-0.590206008622472,-0.173872250737928,0.572431106241958,3601.41716843549,1.00000923911177
"alpha[1]",-4.63854716278687,0.025811388473623,1.22400396997532,-7.42899767941522,-5.37999527536911,-4.48750801772673,-3.7492064090939,-2.69261965609282,2248.75902037954,1.00231947791312
"alpha[2]",0.505219054881415,0.00828930197957282,0.366229676325139,-0.116818540038024,0.266935492410334,0.470719007165604,0.700796442460098,1.3291875681218,1951.96103352361,1.00147095090523
"alpha[3]",1.18644795125839,0.0177134693459756,0.770934372643748,0.111578113241091,0.684127857040513,1.04909298688828,1.50374094675556,3.1771017654529,1894.20752975124,1.00543834909337
"alpha[4]",1.9682222365771,0.0205208330201085,0.761725990888321,0.98839494333986,1.44356894114063,1.79024896628239,2.30161252101417,3.93339081149671,1377.86787879022,1.00146498622204
"alpha[5]",1.05033603775286,0.00823358180913507,0.355789142988006,0.489328649687123,0.804714743157861,1.00009640234181,1.24061539063877,1.92158143529166,1867.27280681427,1.00238334163212
"alpha[6]",1.46270756917988,0.0170334895925232,0.492443617453524,0.807879679286963,1.15897020364493,1.3655826599001,1.63873384812842,2.83190799924146,835.806543495364,1.00255594599477
"alpha[7]",0.758891482501423,0.0150782991621867,0.39845854092035,0.163113129070651,0.509056311362097,0.707935189226373,0.93181097168047,1.69707805409773,698.331398348571,1.00594460451913
"alpha[8]",-3.14487579322635,0.0229464918386225,1.15938682482032,-5.79019572801562,-3.82591588436757,-2.99541991885537,-2.28984520475276,-1.34140023563278,2552.8431110691,0.9994707177216
"alpha[9]",0.884661482758185,0.0135396741041557,0.594259122065016,0.0176251600191896,0.503062745476325,0.78533939978327,1.14609013954806,2.3564738652754,1926.3504191048,1.00004909954672
"alpha[10]",2.77613415286471,0.0256320263931627,1.06993245432769,1.31372893868977,2.00660134854847,2.54702837592054,3.32845776533989,5.31312897003741,1742.39589489738,1.00264212673508
"alpha[11]",-0.0369894190335244,0.0114729408098365,0.5004469439399,-1.0626885088422,-0.304019589086956,-0.0223516898625987,0.228145367171415,0.927926139806053,1902.68360937041,1.00223600130444
"alpha[12]",-3.58177838665077,0.0218653756665738,1.09340814452911,-6.14565874816893,-4.17463011917533,-3.37835562993457,-2.7806058505279,-2.00363655244759,2500.6374008152,1.00051761987718
"alpha[13]",-0.310583436141426,0.00901595669248863,0.41677850449828,-1.28037527962058,-0.509126742519361,-0.271399892053276,-0.0599713516920797,0.404331818249794,2136.9137328856,0.999329500697546
"alpha[14]",1.83958909947621,0.0210107262501763,0.870615964208811,0.721493363803115,1.25400342091709,1.64118847938647,2.21292005315701,4.16813974591857,1717.00327734274,1.00091731196201
"alpha[15]",-1.21923421258009,0.0127995609288895,0.521716545015469,-2.4030066760062,-1.44495318554166,-1.13939380940142,-0.879355220742747,-0.482052276639236,1661.41862630718,1.00198429965669
"alpha[16]",-0.220893511862313,0.0135884885571597,0.554974446364353,-1.39450212639971,-0.497969471069301,-0.207636429297812,0.0902758564203631,0.846356386470298,1668.02927012989,1.00145318469377
"alpha[17]",1.05408424263119,0.00608504898106926,0.235535824268373,0.643931736177855,0.889388413875522,1.03608640849528,1.19578499662468,1.56774158923559,1498.25517307491,1.00033172903605
"alpha[18]",-2.15636739523209,0.0216956572525978,0.840567555390703,-4.24349832828662,-2.59988398901489,-1.9928660423737,-1.56931399065147,-0.949564077552883,1501.06543041764,1.00250443696468
"alpha[19]",1.55396616226906,0.0126189120638023,0.481116944973669,0.893259734944434,1.24245563903563,1.4656076232699,1.7587685766679,2.80512415817831,1453.64205257545,1.00294738512628
"alpha[20]",0.50989102147711,0.0184632770366419,0.620158022269906,-0.428843750575561,0.15414255874959,0.42681204153921,0.764926207663066,2.04693456485855,1128.20276471499,1.00223622604334
"alpha[21]",-0.578302196976662,0.00768795713150331,0.333472615011133,-1.3532307523047,-0.760635036045189,-0.545408038905197,-0.355235945529622,-0.0131683959706041,1881.47496655487,1.00062050570203
"alpha[22]",-0.0046056221385357,0.00643259419177806,0.270667777160453,-0.536948334772316,-0.17090438344612,-0.00361864382302045,0.156202404987495,0.516736885460721,1770.51986634797,1.00161583485157
"alpha[23]",-3.7732803165282,0.0220032556341108,1.09941381909372,-6.38978026767851,-4.40513091291371,-3.59420951194789,-2.97944332316699,-2.14118754567166,2496.59728684248,1.00040390426845
