subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
iqiu17nsh7x9nps1kegka46e,5,34,3,2,2,0,1.0,0.0,0.2963,0.704363917116333,0.025936056073964767,0.12956305919002994,-0.37651537874470087,-7.837908483993582,0.062048881535885995,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,6,15,3,1,2,1,0.0,1.0,0.6615,0.6595035015557491,0.03495223813901341,0.12956305919002994,-0.45137493817390784,-7.837908483993582,0.12973152138733063,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,7,17,4,2,3,0,3.0,0.0,0.3639,0.6361057405805792,0.03872287844563294,0.12956305919002994,-0.4913199416343925,-7.837908483993582,0.13143787937460866,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,8,58,3,1,3,1,0.0,1.0,0.7827,0.7875958955094517,0.014623935518656088,0.12956305919002994,-0.2534489175412009,-7.837908483993582,0.17949601688216665,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,9,23,4,1,1,1,0.0,1.0,0.8256,0.8249898177099767,0.010091202849235347,0.12956305919002994,-0.20249888303840002,-7.837908483993582,0.0469989976540075,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,10,72,4,2,1,0,1.0,0.0,0.3221,0.6790934742633415,0.03029479542994236,0.12956305919002994,-0.4174363575996125,-7.837908483993582,0.1526278235091933,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,11,14,5,1,1,1,0.0,1.0,0.4541,0.46067480677443234,0.08186329690107826,0.12956305919002994,-0.8572207198768016,-7.837908483993582,0.1352957231425411,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,12,67,5,2,2,0,2.0,0.0,0.6394,0.3610302520270212,0.1195411581398998,0.12956305919002994,-1.1388440524946954,-7.837908483993582,0.12259107848190184,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,13,75,6,2,1,0,2.0,0.0,0.2419,0.7581430813047851,0.01831266032923257,0.12956305919002994,-0.2952658360457683,-7.837908483993582,0.16415621260967672,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,14,44,6,1,1,1,3.0,0.0,0.2805,0.7233992579104598,0.023302550256720646,0.12956305919002994,-0.3472052084168027,-7.837908483993582,0.11679370770539987,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,15,78,7,2,1,0,3.0,0.0,0.3179,0.6826424856801543,0.03024582196743562,0.12956305919002994,-0.4121810600624336,-7.837908483993582,0.13632281362878484,0.1676055345133356
iqiu17nsh7x9nps1kegka46e,16,21,7,1,2,1,0.0,1.0,0.459,0.4559886573563451,0.08376274969810009,0.12956305919002994,-0.8694657706927842,-7.837908483993582,0.14904705657778106,0.1676055345133356
iqzqc9sjiflfd8lbbtyq6hsu,1,6,2,2,1,0,3.0,0.0,0.8081,0.19583894171989913,0.1897047688063146,0.1541653137394029,-1.8203242259588084,-10.1762956600658,0.09266068777145295,0.12163102822188698
iqzqc9sjiflfd8lbbtyq6hsu,2,47,2,1,1,1,0.0,1.0,0.5457,0.5470115328281697,0.059228108131086005,0.1541653137394029,-0.6627091645935721,-10.1762956600658,0.07892928334671753,0.12163102822188698
