A,B,mbc,pval
0,63,-0.037835267321241546,0.0298
1,2,-0.0009732920869813743,0.4816
1,3,0.008846308115363823,0.6648
1,4,0.030889812448895448,0.9428
1,5,0.00475355894028317,0.5838
1,6,-0.029919204354030057,0.0638
1,7,0.005988330631525349,0.6486
1,8,-0.0004879543606560074,0.4894
1,9,0.024075004529210162,0.8892
1,10,0.014685608659036365,0.7616
1,11,0.020899423585649286,0.8897
1,12,0.015503217465748495,0.7662
1,13,-0.027081157867834826,0.0514
1,14,0.008164752372175245,0.6961
1,15,-0.002488730878786964,0.4502
1,16,0.008167840275793403,0.6915
1,17,-0.02531368618391514,0.1116
1,18,0.02023743672010192,0.8577
1,19,0.0016137316746584916,0.5285
1,20,-0.019725257411316918,0.1477
1,21,-0.002018036009520124,0.4698
1,22,0.02047368716538578,0.8457
1,23,0.002608149799064678,0.56
1,24,-0.0344751642492722,0.0475
1,25,0.011090629688545989,0.6949
1,26,0.00602464049373553,0.6027
1,27,0.00415654183087747,0.5741
1,28,-0.0015775754119958644,0.4755
1,29,-0.03509779522222143,0.0524
1,30,-0.0018888850780547461,0.456
1,31,0.024039208365376902,0.9088
1,32,-0.042831192538947176,0.0162
1,33,0.018184637572615597,0.8293
1,34,0.017928121225429736,0.9354
1,35,-0.002590041255382673,0.4448
1,36,0.0003694270803680447,0.5106
1,37,0.006489885514322772,0.6465
1,38,-0.00794462459561807,0.3445
1,39,0.023166748170568435,0.8797
1,40,0.018976844143935058,0.8304
1,41,-0.02207198604046513,0.1184
1,42,0.010722072174671965,0.7292
1,43,-0.01067690469463657,0.2951
1,44,0.0038331091951738267,0.5748
1,45,0.004838628726099779,0.6017
1,46,-0.008614687128125154,0.242
1,47,-0.006095658466422304,0.3754
1,48,-0.005012609651346204,0.4187
1,50,-0.04796855069658756,0.0115
1,51,0.008037397247587947,0.6842
1,52,-0.0021403517020589786,0.4492
1,55,0.033121927913588534,0.9411
1,56,0.020585793640565366,0.8452
1,57,-0.019886869316392507,0.1591
1,58,-0.007361304896255877,0.3575
1,59,-0.025152085436667432,0.106
1,60,-0.0015584153921522116,0.4873
