name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[699]	-1.24	0.00399	0.574	-2.24	-1.21	-0.353	20701.0	4.51	1.0
theta[700]	0.333	0.00345	0.515	-0.526	0.346	1.15	22248.0	4.84	1.0
theta[701]	-1.56	0.00459	0.605	-2.62	-1.51	-0.639	17323.0	3.77	1.0
theta[702]	1.51	0.00412	0.625	0.501	1.51	2.55	23048.0	5.02	1.0
theta[703]	-1.09	0.00447	0.582	-2.11	-1.05	-0.212	16985.0	3.7	1.0
theta[704]	0.0395	0.00467	0.574	-0.926	0.0572	0.949	15088.0	3.28	1.0
theta[705]	-0.85	0.0046	0.629	-1.94	-0.818	0.129	18674.0	4.07	1.0
theta[706]	-0.628	0.00404	0.581	-1.62	-0.602	0.269	20714.0	4.51	1.0
theta[707]	-0.69	0.00393	0.548	-1.63	-0.667	0.159	19467.0	4.24	1.0
theta[708]	1.16	0.00423	0.583	0.218	1.16	2.14	18959.0	4.13	1.0
theta[709]	0.656	0.00373	0.583	-0.297	0.645	1.62	24402.0	5.31	1.0
theta[710]	-0.818	0.00357	0.517	-1.7	-0.795	-0.0143	20920.0	4.55	1.0
theta[711]	-0.0312	0.0034	0.52	-0.885	-0.0245	0.806	23417.0	5.1	1.0
theta[712]	-0.75	0.0042	0.555	-1.71	-0.722	0.106	17515.0	3.81	1.0
theta[713]	0.936	0.00405	0.583	0.0102	0.91	1.92	20758.0	4.52	1.0
theta[714]	1.65	0.00415	0.627	0.62	1.65	2.69	22834.0	4.97	1.0
theta[715]	-0.421	0.00409	0.54	-1.33	-0.41	0.442	17422.0	3.79	1.0
theta[716]	-0.792	0.00421	0.541	-1.72	-0.763	0.0397	16494.0	3.59	1.0
theta[717]	-0.736	0.00365	0.526	-1.64	-0.704	0.0778	20704.0	4.51	1.0
theta[718]	0.978	0.00415	0.634	-0.0573	0.972	2.04	23281.0	5.07	1.0
theta[719]	-1.1	0.00463	0.622	-2.19	-1.07	-0.159	18079.0	3.94	1.0
theta[720]	-0.0818	0.00377	0.554	-1.0	-0.0791	0.817	21622.0	4.71	1.0
theta[721]	-1.23	0.00416	0.574	-2.22	-1.2	-0.343	19016.0	4.14	1.0
theta[722]	-0.481	0.00396	0.537	-1.4	-0.469	0.386	18427.0	4.01	1.0
theta[723]	0.13	0.00384	0.552	-0.797	0.146	1.0	20675.0	4.5	1.0
theta[724]	-0.29	0.0036	0.475	-1.07	-0.285	0.474	17392.0	3.79	1.0
theta[725]	-0.0845	0.00389	0.539	-0.984	-0.0688	0.775	19151.0	4.17	1.0
theta[726]	-0.191	0.00367	0.536	-1.08	-0.181	0.659	21269.0	4.63	1.0
theta[727]	-0.47	0.00356	0.535	-1.37	-0.454	0.378	22568.0	4.91	1.0
theta[728]	-0.697	0.00426	0.559	-1.63	-0.682	0.187	17205.0	3.75	1.0
theta[729]	1.2	0.00473	0.682	0.0819	1.2	2.31	20771.0	4.52	1.0
theta[730]	0.0244	0.00355	0.544	-0.888	0.0373	0.895	23506.0	5.12	1.0
theta[731]	0.475	0.00378	0.556	-0.429	0.47	1.39	21623.0	4.71	1.0
theta[732]	0.264	0.0037	0.528	-0.621	0.265	1.11	20407.0	4.44	1.0
theta[733]	0.824	0.00406	0.579	-0.108	0.816	1.79	20378.0	4.44	1.0
theta[734]	-0.208	0.0039	0.561	-1.13	-0.199	0.702	20748.0	4.52	1.0
theta[735]	1.18	0.00376	0.555	0.291	1.16	2.13	21735.0	4.73	1.0
theta[736]	0.826	0.00373	0.561	-0.0857	0.829	1.75	22700.0	4.94	1.0
theta[737]	-0.151	0.00444	0.628	-1.2	-0.137	0.856	20004.0	4.36	1.0
theta[738]	-0.057	0.00361	0.524	-0.925	-0.0427	0.785	21028.0	4.58	1.0
theta[739]	0.285	0.00416	0.587	-0.668	0.277	1.25	19929.0	4.34	1.0
theta[740]	-0.0862	0.00355	0.51	-0.932	-0.0683	0.722	20676.0	4.5	1.0
theta[741]	0.724	0.00376	0.559	-0.2	0.726	1.65	22075.0	4.81	1.0
theta[742]	-0.177	0.00357	0.543	-1.08	-0.167	0.702	23144.0	5.04	1.0
theta[743]	-1.14	0.00458	0.589	-2.16	-1.11	-0.236	16491.0	3.59	1.0
theta[744]	1.47	0.0041	0.622	0.488	1.45	2.52	22990.0	5.01	1.0
theta[745]	0.453	0.00328	0.478	-0.338	0.457	1.24	21199.0	4.62	1.0
theta[746]	-0.0301	0.00526	0.63	-1.15	0.00821	0.927	14320.0	3.12	1.0
theta[747]	1.24	0.00418	0.604	0.273	1.24	2.25	20957.0	4.56	1.0
theta[748]	-1.74	0.00422	0.579	-2.74	-1.71	-0.838	18857.0	4.11	1.0
theta[749]	0.139	0.00366	0.507	-0.719	0.153	0.948	19179.0	4.18	1.0
theta[750]	1.27	0.00405	0.609	0.281	1.26	2.3	22648.0	4.93	1.0
theta[751]	-0.75	0.00409	0.625	-1.83	-0.732	0.249	23334.0	5.08	1.0
theta[752]	0.814	0.00389	0.569	-0.14	0.811	1.75	21384.0	4.66	1.0
theta[753]	0.739	0.00449	0.628	-0.296	0.744	1.75	19519.0	4.25	1.0
theta[754]	-1.37	0.00439	0.612	-2.42	-1.33	-0.432	19443.0	4.23	1.0
theta[755]	0.776	0.00403	0.571	-0.155	0.774	1.73	20095.0	4.37	1.0
theta[756]	0.697	0.00367	0.56	-0.24	0.699	1.6	23255.0	5.06	1.0
theta[757]	0.133	0.00387	0.526	-0.756	0.151	0.968	18396.0	4.01	1.0
theta[758]	0.989	0.00369	0.57	0.0759	0.984	1.93	23801.0	5.18	1.0
theta[759]	0.348	0.00372	0.542	-0.546	0.358	1.22	21255.0	4.63	1.0
theta[760]	-0.108	0.00447	0.621	-1.16	-0.0902	0.888	19274.0	4.2	1.0
theta[761]	0.522	0.00432	0.607	-0.446	0.514	1.53	19777.0	4.31	1.0
theta[762]	1.32	0.00425	0.626	0.318	1.31	2.38	21637.0	4.71	1.0
theta[763]	0.749	0.00405	0.589	-0.206	0.752	1.72	21191.0	4.61	1.0
theta[764]	0.0297	0.0038	0.509	-0.812	0.04	0.85	18001.0	3.92	1.0
theta[765]	0.229	0.00426	0.582	-0.742	0.239	1.16	18651.0	4.06	1.0
theta[766]	-0.451	0.00454	0.611	-1.49	-0.433	0.515	18149.0	3.95	1.0
theta[767]	-0.098	0.00459	0.649	-1.18	-0.0829	0.947	19985.0	4.35	1.0
theta[768]	-0.49	0.00377	0.507	-1.36	-0.471	0.303	18103.0	3.94	1.0
theta[769]	-0.473	0.00398	0.549	-1.41	-0.45	0.371	19009.0	4.14	1.0
theta[770]	-2.1	0.00426	0.583	-3.12	-2.07	-1.2	18779.0	4.09	1.0
theta[771]	-1.89	0.00428	0.62	-2.97	-1.86	-0.923	21014.0	4.58	1.0
theta[772]	-0.579	0.00345	0.502	-1.44	-0.559	0.216	21137.0	4.6	1.0
theta[773]	0.624	0.00378	0.567	-0.318	0.621	1.55	22431.0	4.88	1.0
theta[774]	0.171	0.0038	0.558	-0.766	0.184	1.06	21524.0	4.69	1.0
theta[775]	0.182	0.0035	0.508	-0.668	0.193	0.998	21015.0	4.58	1.0
theta[776]	-1.52	0.00413	0.573	-2.51	-1.5	-0.621	19216.0	4.18	1.0
theta[777]	-0.589	0.00358	0.534	-1.5	-0.577	0.257	22212.0	4.84	1.0
theta[778]	-0.929	0.00433	0.589	-1.95	-0.891	-0.0315	18501.0	4.03	1.0
theta[779]	0.982	0.00394	0.57	0.0464	0.979	1.92	20929.0	4.56	1.0
theta[780]	-0.279	0.00378	0.547	-1.22	-0.253	0.569	20892.0	4.55	1.0
theta[781]	0.229	0.00378	0.542	-0.669	0.234	1.1	20597.0	4.48	1.0
theta[782]	0.579	0.00365	0.531	-0.303	0.586	1.44	21153.0	4.61	1.0
theta[783]	-0.466	0.00458	0.615	-1.5	-0.454	0.531	18001.0	3.92	1.0
theta[784]	-0.319	0.00399	0.568	-1.28	-0.302	0.591	20219.0	4.4	1.0
theta[785]	-1.21	0.00416	0.567	-2.21	-1.17	-0.342	18632.0	4.06	1.0
theta[786]	1.58	0.0043	0.631	0.555	1.57	2.64	21551.0	4.69	1.0
theta[787]	0.292	0.00398	0.57	-0.648	0.296	1.23	20504.0	4.46	1.0
theta[788]	1.06	0.00449	0.672	-0.0277	1.05	2.17	22439.0	4.89	1.0
theta[789]	0.214	0.00323	0.485	-0.593	0.223	1.0	22631.0	4.93	1.0
theta[790]	-0.0462	0.00379	0.55	-0.959	-0.0357	0.843	21105.0	4.59	1.0
theta[791]	0.211	0.00353	0.495	-0.632	0.229	0.997	19654.0	4.28	1.0
theta[792]	-1.24	0.00439	0.561	-2.21	-1.2	-0.385	16317.0	3.55	1.0
theta[793]	-0.376	0.00344	0.51	-1.23	-0.366	0.444	21998.0	4.79	1.0
theta[794]	-1.37	0.00428	0.593	-2.41	-1.34	-0.447	19185.0	4.18	1.0
theta[795]	-0.52	0.00523	0.652	-1.68	-0.468	0.446	15549.0	3.39	1.0
theta[796]	1.59	0.00455	0.657	0.571	1.55	2.72	20889.0	4.55	1.0
theta[797]	-0.779	0.00485	0.607	-1.82	-0.749	0.175	15679.0	3.41	1.0
theta[798]	-0.809	0.00401	0.537	-1.74	-0.781	0.00527	17894.0	3.9	1.0
theta[799]	-1.62	0.00409	0.618	-2.68	-1.6	-0.645	22815.0	4.97	1.0
theta[800]	-1.16	0.00438	0.572	-2.17	-1.12	-0.281	17109.0	3.72	1.0
theta[801]	0.0955	0.00351	0.512	-0.77	0.105	0.916	21249.0	4.63	1.0
theta[802]	0.6	0.00412	0.621	-0.416	0.6	1.64	22686.0	4.94	1.0
mu_pr[1]	0.468	0.00395	0.215	0.117	0.464	0.823	2952.0	0.643	1.0
mu_pr[2]	-1.19	0.00137	0.115	-1.38	-1.19	-1.0	7063.0	1.54	1.0
mu_pr[3]	-0.295	0.00202	0.173	-0.576	-0.298	-0.00782	7348.0	1.6	1.0
mu_pr[4]	0.493	0.00153	0.15	0.246	0.494	0.736	9566.0	2.08	1.0
mu_pr[5]	0.26	0.0011	0.0914	0.107	0.26	0.409	6885.0	1.5	1.0
mu_pr[6]	0.00869	0.000943	0.0921	-0.146	0.01	0.159	9534.0	2.08	1.0
mu_pr[7]	0.0431	0.00118	0.113	-0.143	0.0436	0.227	9094.0	1.98	1.0
mu_pr[8]	-0.113	0.00121	0.114	-0.299	-0.114	0.0757	9018.0	1.96	1.0
xi_pr[1,1]	-0.483	0.00339	0.272	-0.933	-0.481	-0.0278	6457.0	1.41	1.0
xi_pr[1,2]	-0.891	0.00336	0.264	-1.34	-0.884	-0.466	6178.0	1.35	1.0
